# alpha_scan -- alpha_eff(E) = d ln sigma / d ln E e teto 3^(alpha/2)
# estimador: diferenca centrada em ln E, passo adaptativo por
#            reducao pela metade (h inicial 0.1, piso 3e-3).
#            A rota analitica esta fechada: a interpolacao da
#            tabela e linear em log-log, portanto C^0, e a
#            derivada dela e uma funcao escada.
# faixa_comum_GeV = 1000 1e+14
# dipole.path = dipole/data/sigma_nuN_CC_GBW.dat
# dipole.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# dipole.convention_y = (E_in - E_out)/E_in
# dipole.target = isoscalar_nucleon
# dipole.projectile = nu
# dipole.current = CC
# dipole.units_sigma = cm^2
# dipole.units_E = GeV
# dipole.M_Z_GeV = 91.1876
# dipole.dipole_model = GBW
# dipole.generated_by = sigma_nuN (PHASIS/dipole) commit 1474a9b-sujo
# dipole.M_W_GeV = 80.379
# dipole.xF3_from = NNPDF31_nlo_as_0118
# colinear.path = data/sigma_nuN_CC_collinear.dat
# colinear.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# colinear.convention_y = (E_in - E_out)/E_in
# colinear.target = isoscalar_nucleon
# colinear.projectile = nu
# colinear.current = CC
# colinear.units_sigma = cm^2
# colinear.units_E = GeV
# colinear.M_Z_GeV = 91.1876
# colinear.dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# colinear.generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# colinear.M_W_GeV = 80.379
# colinear.pdf_set = NNPDF31_nlo_as_0118
# colinear.PTO = 1 (0=LO, 1=NLO)
# colinear.esquema = ZM-VFNS, TMC desligada, CKM completa
# colinear.formula = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# colinear.Q2min_GeV2 = 1.0
# colinear.nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# colinear.tabela_SF = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
# pontos_sem_convergencia_do_passo = 34 de 240
E_GeV,alpha_dipole,alpha_colinear,teto_dipole,teto_colinear
1000,1.050337443,0.9467172324,1.78061144,1.682090883
1111.795993,1.0467227,0.9426368144,1.777079365,1.678324869
1236.090331,1.042895668,0.9383705003,1.773347491,1.674396298
1374.280277,1.038956544,0.9339001762,1.769514497,1.670289734
1527.919306,1.032386691,0.9264968791,1.763140075,1.663510999
1698.734562,1.025876826,0.9192045572,1.756846506,1.656860773
1888.64628,1.021146048,0.9138442538,1.752287011,1.651989408
2099.789367,1.016166087,0.9082442138,1.74750014,1.646915472
2334.537405,1.007638594,0.8986586804,1.739333634,1.638266605
2595.529333,0.9999077275,0.8899529313,1.731963019,1.630450918
2885.699113,0.9940141386,0.8833518865,1.726365055,1.624549617
3208.308712,0.9879223729,0.8764979728,1.720597871,1.618444855
3566.984772,0.9771812102,0.8644727997,1.710475912,1.607789446
3965.759377,0.9681998374,0.8544660168,1.702058021,1.598976014
4409.115386,0.9611976183,0.8466526059,1.695523864,1.592127988
4902.036821,0.9539518657,0.8386207544,1.68878886,1.585119079
5450.064896,0.9409222839,0.8242543169,1.676744963,1.572659226
6059.360315,0.9309673435,0.8133423501,1.667601025,1.563260885
6736.77252,0.9229084352,0.8045727671,1.660235192,1.555748475
7489.916696,0.9146682243,0.7956612688,1.652737288,1.548151477
8327.259373,0.8995613534,0.7794672887,1.639079131,1.534441039
9258.213607,0.8889901947,0.7682712588,1.629588903,1.525033113
10293.24479,0.8801611518,0.7589935466,1.621704779,1.51728085
11443.98832,0.8711949905,0.749677986,1.613737248,1.509536612
12723.38036,0.854428483,0.7325113805,1.598943047,1.495369004
14145.80331,0.8437222051,0.7217247361,1.589567221,1.486534887
15727.24744,0.8344118303,0.7124759611,1.581458536,1.479001833
17485.49069,0.825047685,0.703295802,1.573344743,1.471562417
19440.29849,0.8071906995,0.6861462805,1.557987323,1.457764893
21613.64597,0.7967682986,0.6763588565,1.549093192,1.449948554
24029.96499,0.7873272436,0.6676384192,1.541080344,1.443019634
26716.4188,0.7778831299,0.6590725652,1.533106368,1.436245777
29703.20737,0.7594956383,0.6428334299,1.517699377,1.423491068
33023.90695,0.7497024254,0.6344242685,1.509556877,1.416930835
36715.84743,0.7403861546,0.6265937718,1.501851475,1.410849223
40820.53206,0.731125293,0.6189653432,1.494230884,1.40494965
45384.10399,0.7127963207,0.6043536922,1.479262124,1.393718279
50457.86498,0.7037382112,0.5973715588,1.471920077,1.388383149
56098.85212,0.6947674444,0.5906080307,1.464684742,1.383234532
62370.47901,0.6858750889,0.5840695976,1.45754775,1.378275415
69343.24867,0.6683715204,0.5716409108,1.44360085,1.368897765
77095.54603,0.6597664918,0.5657523467,1.436793346,1.364477048
85714.51918,0.6512621532,0.5600784047,1.43009704,1.36023096
95297.059,0.6428662722,0.5546055914,1.423516748,1.356147906
105950.8884,0.6264000548,0.5442609901,1.410699103,1.348463648
117795.7732,0.6183359945,0.5393824879,1.404464036,1.344854885
