# alpha_scan -- alpha_eff(E) = d ln sigma / d ln E e teto 3^(alpha/2)
# estimador: diferenca centrada em ln E, passo adaptativo por
#            reducao pela metade (h inicial 0.1, piso 3e-3).
#            A rota analitica esta fechada: a interpolacao da
#            tabela e linear em log-log, portanto C^0, e a
#            derivada dela e uma funcao escada.
# faixa_comum_GeV = 1000 1e+14
# dipole.path = dipole/data/sigma_nuN_CC_IIM.dat
# dipole.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# dipole.convention_y = (E_in - E_out)/E_in
# dipole.target = isoscalar_nucleon
# dipole.projectile = nu
# dipole.current = CC
# dipole.units_sigma = cm^2
# dipole.units_E = GeV
# dipole.M_Z_GeV = 91.1876
# dipole.dipole_model = IIM
# dipole.generated_by = sigma_nuN (PHASIS/dipole) commit 89bbd23-sujo
# dipole.M_W_GeV = 80.379
# dipole.xF3_from = NNPDF31_nlo_as_0118
# dipole.largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s = 4]
# dipole.bCGC [Rezaeian & Schmidt, PRD 88 (2013) 074016, Tabela II, m_c = 1.4]
# colinear.path = data/sigma_nuN_CC_collinear.dat
# colinear.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# colinear.convention_y = (E_in - E_out)/E_in
# colinear.target = isoscalar_nucleon
# colinear.projectile = nu
# colinear.current = CC
# colinear.units_sigma = cm^2
# colinear.units_E = GeV
# colinear.M_Z_GeV = 91.1876
# colinear.dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# colinear.generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# colinear.M_W_GeV = 80.379
# colinear.pdf_set = NNPDF31_nlo_as_0118
# colinear.PTO = 1 (0=LO, 1=NLO)
# colinear.esquema = ZM-VFNS, TMC desligada, CKM completa
# colinear.formula = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# colinear.Q2min_GeV2 = 1.0
# colinear.nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# colinear.tabela_SF = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
# colinear.AVISO -- EXTRAPOLACAO DO PDF. Abaixo de x = 1e-09 o LHAPDF extrapola (continuation), e a
# pontos_sem_convergencia_do_passo = 28 de 200
E_GeV,alpha_dipole,alpha_colinear,teto_dipole,teto_colinear
1000,0.9907835915,0.9467172324,1.723304235,1.682090883
1135.733358,0.986495283,0.9426368144,1.719249606,1.678324869
1289.890261,0.9797691873,0.9358308695,1.71290924,1.672062086
1464.971398,0.9732259253,0.9292227696,1.70676366,1.66600372
1663.816886,0.9651711664,0.9210677708,1.699228717,1.658557396
1889.65234,0.958372222,0.9138442538,1.69289444,1.651989408
2146.141198,0.9490556795,0.9041271731,1.684252956,1.643195155
2437.44415,0.941793009,0.8963016029,1.677547133,1.63614682
2768.28663,0.931150939,0.8848540485,1.667769212,1.625890663
3144.035472,0.9235094617,0.8764979728,1.660783405,1.618444855
3570.785965,0.9114702416,0.863220854,1.64983652,1.606684147
4055.460736,0.9035062934,0.8544660168,1.642634834,1.598976014
4605.922041,0.8901959536,0.8393544352,1.630668587,1.585758035
5231.099308,0.8822388606,0.8303825086,1.623556684,1.577962115
5941.133985,0.867539644,0.8135423985,1.610500269,1.563432678
6747.544053,0.8596395259,0.8045727671,1.603526511,1.555748475
7663.410868,0.8441922867,0.7866266575,1.58997773,1.540487394
8703.591361,0.8362955027,0.7774895621,1.583095738,1.532774963
9884.959047,0.8204366888,0.7589935466,1.569364741,1.51728085
11226.67774,0.8125626521,0.749677986,1.562591495,1.509536612
12750.51241,0.7966967322,0.7310218753,1.549032295,1.494146002
14481.18228,0.7888023928,0.7217247361,1.542329601,1.486534887
16446.76178,0.7732201874,0.703295802,1.52918452,1.471562417
18679.13599,0.7654393314,0.6942051245,1.522662623,1.464232392
21214.51785,0.750325984,0.6763588565,1.510074026,1.449948554
24094.0356,0.7428690427,0.6676384192,1.503901197,1.443019634
27364.39997,0.7283668713,0.6506736643,1.491968513,1.429634821
31078.66188,0.7212358247,0.6424526281,1.486135713,1.423193338
35297.07303,0.7074260487,0.6265937718,1.474904844,1.410849223
40088.06329,0.700712797,0.6189653432,1.469475956,1.40494965
45529.35075,0.6876110154,0.6043536922,1.458938265,1.393718279
51709.20243,0.6811921595,0.5973715588,1.453803228,1.388383149
58727.86613,0.6688410715,0.5840695976,1.443973242,1.378275415
66699.19663,0.6627662917,0.577750273,1.439162858,1.37349938
75752.50259,0.6509907142,0.5657523467,1.429883824,1.364477048
86034.64417,0.645273662,0.5600784047,1.425400444,1.36023096
97712.41535,0.6340599012,0.549329764,1.416647266,1.352223419
110975.2496,0.6285587108,0.5442609901,1.412372849,1.348463648
