# redshift_scan -- R(b,E) = (tau_full - tau_frozen)/tau_frozen
# mesma geometria e mesma densidade nos dois; so o argumento
# de sigma muda (E_loc contra E_inf).
# metrica = Schwarzschild  r_s_cm = 1000000  b_crit_cm = 2598076.21135
# perfil = PowerLawHalo  rho0 = 3  r0_cm = 100000000  p = 2  r_in_cm = 1200000  r_out_cm = 10000000000
# nota: r_in = 1.2 r_s fica ABAIXO da esfera de fotons
#       (1.5 r_s), sem o que os raios quase-criticos enrolariam
#       no vazio e o teto 3^(alpha/2) seria inatingivel.
# dipole.path = dipole/data/sigma_nuN_CC_GBW.dat
# dipole.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# dipole.convention_y = (E_in - E_out)/E_in
# dipole.target = isoscalar_nucleon
# dipole.projectile = nu
# dipole.current = CC
# dipole.units_sigma = cm^2
# dipole.units_E = GeV
# dipole.M_Z_GeV = 91.1876
# dipole.dipole_model = GBW
# dipole.generated_by = sigma_nuN (PHASIS/dipole) commit 89bbd23-sujo
# dipole.M_W_GeV = 80.379
# dipole.xF3_from = NNPDF31_nlo_as_0118
# colinear.path = data/sigma_nuN_CC_collinear.dat
# colinear.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# colinear.convention_y = (E_in - E_out)/E_in
# colinear.target = isoscalar_nucleon
# colinear.projectile = nu
# colinear.current = CC
# colinear.units_sigma = cm^2
# colinear.units_E = GeV
# colinear.M_Z_GeV = 91.1876
# colinear.dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# colinear.generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# colinear.M_W_GeV = 80.379
# colinear.pdf_set = NNPDF31_nlo_as_0118
# colinear.PTO = 1 (0=LO, 1=NLO)
# colinear.esquema = ZM-VFNS, TMC desligada, CKM completa
# colinear.formula = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# colinear.Q2min_GeV2 = 1.0
# colinear.nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# colinear.tabela_SF = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
b_over_bcrit_minus_1,b_cm,r_turn_over_rs,E_inf_GeV,tau_dipole_full,tau_dipole_frozen,R_dipole,tau_colinear_full,tau_colinear_frozen,R_colinear,ok
1e-12,2598076.21136,1.5000012248,1001,2.20991290386,1.3010736076,0.698530268352,3.39769637899,2.1111386817,0.609414108338,1
1e-12,2598076.21136,1.5000012248,22156.7177531,35.7912405708,24.2424346567,0.476388039306,38.384269741,27.6056507977,0.39044973155,1
1e-12,2598076.21136,1.5000012248,490429.711879,223.236095707,174.687671272,0.277915574011,197.296247799,155.378224931,0.26978054928,1
1e-12,2598076.21136,1.5000012248,10855457.2466,757.318958403,635.650258696,0.191408243829,740.521129394,605.134071156,0.223730681664,1
1e-12,2598076.21136,1.5000012248,240281021.273,1979.60703876,1708.69964159,0.158545943695,2319.19231979,1943.23141167,0.193472020808,1
1e-12,2598076.21136,1.5000012248,5318520249.52,4651.12084093,4063.44194774,0.144625886318,6421.98815544,5475.84313636,0.172785267129,1
1e-12,2598076.21136,1.5000012248,117723228804,10389.396363,9133.8808913,0.137456956868,16218.5509704,14017.8786621,0.156990395006,1
1e-12,2598076.21136,1.5000012248,2.605754599e+12,22520.2380878,19882.8239802,0.132647862809,38106.1949222,33287.2928596,0.144767016137,1
1e-12,2598076.21136,1.5000012248,5.7677291892e+13,47686.5279896,42255.9647319,0.128515898102,84855.4554497,74668.0621091,0.136435753827,1
1.58489319246e-11,2598076.21139,1.50000487581,1001,1.98932703754,1.17645490567,0.690950522584,3.05982675311,1.90893078157,0.602900839911,1
1.58489319246e-11,2598076.21139,1.50000487581,22156.7177531,32.2551867081,21.9204593888,0.47146490573,34.6086587712,24.9615418494,0.386479207898,1
1.58489319246e-11,2598076.21139,1.50000487581,490429.711879,201.416873456,157.955834803,0.275146775728,178.018110147,140.495875011,0.267070012789,1
1.58489319246e-11,2598076.21139,1.50000487581,10855457.2466,683.697369975,574.766762438,0.18952141052,668.372622163,547.173459243,0.221500441721,1
1.58489319246e-11,2598076.21139,1.50000487581,240281021.273,1787.58712378,1545.03793169,0.156985914142,2093.6845482,1757.10591143,0.191552845266,1
1.58489319246e-11,2598076.21139,1.50000487581,5318520249.52,4200.4051957,3674.2396321,0.14320393232,5798.42724151,4951.35900292,0.171077927917,1
1.58489319246e-11,2598076.21139,1.50000487581,117723228804,9383.13024193,8259.02463904,0.136106338463,14645.5111598,12675.226077,0.155443782294,1
1.58489319246e-11,2598076.21139,1.50000487581,2.605754599e+12,20339.8044736,17978.4184949,0.131345589682,34413.5025821,30098.9880607,0.143344171995,1
