# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = CC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# M_W_GeV      = 80.379
# pdf_set      = NNPDF31_nlo_as_0118
# PTO          = 1 (0=LO, 1=NLO)
# esquema      = ZM-VFNS, TMC desligada, CKM completa
# formula      = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# Q2min_GeV2   = 1.0
# nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# tabela_SF    = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
#
# AVISO -- EXTRAPOLACAO DO PDF. Abaixo de x = 1e-09 o LHAPDF extrapola (continuation), e a
# ultima coluna diz que fracao de sigma vem dali. Nao e um
# defeito escondido: e exatamente a hipotese que o modelo de
# dipolo substitui. Onde essa fracao e grande, a inclinacao
# alpha_eff colinear e uma PROPRIEDADE DA EXTRAPOLACAO (uma
# lei de potencia continuada), nao uma medida.
# Enu_GeV sigma_GeV_minus2 sigma_cm2 fracao_x_abaixo_do_grid
1000 1.559018691e-08 6.07049139e-36 0
1088.401916 1.689197321e-08 6.577379638e-36 0
1184.618731 1.829613392e-08 7.12413033e-36 0
1289.341297 1.980985617e-08 7.713541984e-36 0
1403.321538 2.144069475e-08 8.34855628e-36 0
1527.37785 2.319659856e-08 9.03226835e-36 0
1662.400979 2.508589636e-08 9.767921238e-36 0
1809.360411 2.711730424e-08 1.055890881e-35 0
1969.311338 2.929990431e-08 1.140876744e-35 0
2143.402234 3.164316157e-08 1.232118261e-35 0
2332.883098 3.415690319e-08 1.329998081e-35 0
2539.114434 3.685129849e-08 1.434912176e-35 0
2763.577015 3.973685931e-08 1.547269854e-35 0
3007.882518 4.282441451e-08 1.66749277e-35 0
3273.785096 4.612508494e-08 1.796013945e-35 0
3563.193971 4.965027324e-08 1.933277374e-35 0
3878.187146 5.341163048e-08 2.079736726e-35 0
4221.02632 5.742103818e-08 2.235854642e-35 0
4594.173135 6.16905717e-08 2.402101312e-35 0
5000.306842 6.623248708e-08 2.578953959e-35 0
5442.343548 7.105919002e-08 2.766895635e-35 0
5923.457146 7.618320882e-08 2.966414167e-35 0
6447.102107 8.161717431e-08 3.178001372e-35 0
7017.038287 8.737379957e-08 3.40215227e-35 0
7637.357916 9.346586748e-08 3.639364602e-35 0
8312.51499 9.990620986e-08 3.890138009e-35 0
9047.357242 1.067077047e-07 4.154973936e-35 0
9847.160958 1.138832725e-07 4.434375477e-35 0
10717.66885 1.214458777e-07 4.72884744e-35 0
11665.13132 1.294085302e-07 5.038896408e-35 0
12696.35128 1.377842984e-07 5.365031234e-35 0
13818.73306 1.465863431e-07 5.707764369e-35 0
15040.33554 1.558279139e-07 6.067611729e-35 0
16369.93002 1.655223894e-07 6.445094246e-35 0
17817.0632 1.756833101e-07 6.840739161e-35 0
19392.12572 1.863244399e-07 7.255082409e-35 0
21106.42679 1.97459762e-07 7.688668465e-35 0
22972.27536 2.091035358e-07 8.142052565e-35 0
25003.06852 2.212704021e-07 8.615804788e-35 0
27213.38768 2.339753694e-07 9.110509538e-35 0
29619.1033 2.472338711e-07 9.626767748e-35 0
32237.48878 2.61061813e-07 1.016519877e-34 0
35087.34456 2.754757494e-07 1.072644718e-34 0
38189.13305 2.904927633e-07 1.131117817e-34 0
41565.12558 3.061305121e-07 1.192007927e-34 0
45239.56233 3.224075054e-07 1.255387121e-34 0
49238.82632 3.393429972e-07 1.321330369e-34 0
53591.63291 3.56956892e-07 1.389915176e-34 0
58329.23594 3.752699817e-07 1.461222502e-34 0
63485.65216 3.943041394e-07 1.535337515e-34 0
69097.90546 4.140820103e-07 1.612348391e-34 0
75206.2927 4.346269284e-07 1.692345988e-34 0
81854.67307 4.559636928e-07 1.775426867e-34 0
89090.78301 4.781180652e-07 1.861691341e-34 0
96966.57893 5.01116501e-07 1.95124242e-34 0
105538.6103 5.24986529e-07 2.044187297e-34 0
114868.4257 5.497574704e-07 2.14064014e-34 0
125023.0146 5.754593385e-07 2.240717818e-34 0
136075.2886 6.02122347e-07 2.344537973e-34 0
148104.6049 6.297794825e-07 2.452229051e-34 0
161197.3357 6.584644315e-07 2.563922219e-34 0
175447.4891 6.882111809e-07 2.679749814e-34 0
190957.3833 7.190552211e-07 2.799850029e-34 0
207838.3819 7.510344834e-07 2.924370561e-34 0
226211.693 7.841874387e-07 3.053461207e-34 0
246209.2401 8.185513478e-07 3.187267053e-34 0
267974.6087 8.54168681e-07 3.325953468e-34 0
291664.0776 8.910820943e-07 3.469686548e-34 0
317447.7409 9.293327117e-07 3.618626419e-34 0
345510.7295 9.689651268e-07 3.772946721e-34 0
376054.54 1.010026675e-06 3.932831765e-34 0
409298.4818 1.052564367e-06 4.098464605e-34 0
445481.2519 1.096622791e-06 4.270018858e-34 0
484862.6481 1.142254569e-06 4.447699418e-34 0
527725.4352 1.189512661e-06 4.631712503e-34 0
574377.3749 1.238443465e-06 4.822238779e-34 0
625153.4354 1.289102584e-06 5.019494752e-34 0
680418.1969 1.341548087e-06 5.223706526e-34 0
740568.4692 1.395834066e-06 5.435084729e-34 0
806036.1409 1.452013527e-06 5.65383575e-34 0
877291.2802 1.510150735e-06 5.880209829e-34 0
954845.5103 1.570309944e-06 6.114457157e-34 0
1039255.683 1.632539911e-06 6.35676758e-34 0
1131127.877 1.696911381e-06 6.607416565e-34 0
1231121.748 1.763494791e-06 6.866678382e-34 0
1339955.27 1.832348038e-06 7.134778466e-34 0
1458409.883 1.903535716e-06 7.411968337e-34 0
1587336.111 1.977136481e-06 7.69855426e-34 0
1727659.665 2.053223059e-06 7.994819413e-34 0
1880388.089 2.13185018e-06 8.300976912e-34 0
2046617.999 2.213104596e-06 8.617364546e-34 0
2227542.952 2.297071891e-06 8.944315558e-34 0
2424462.017 2.383808898e-06 9.282051249e-34 0
2638789.105 2.473398664e-06 9.630894985e-34 0
2872063.118 2.565937361e-06 9.991221236e-34 0
3125959 2.66150099e-06 1.036332594e-33 0
3402299.766 2.760155175e-06 1.074746462e-33 0
3703069.584 2.862007439e-06 1.114405595e-33 0
4030428.031 2.967159667e-06 1.155349664e-33 0
4386725.591 3.075658087e-06 1.19759667e-33 0
4774520.539 3.187620453e-06 1.241192465e-33 0
5196597.302 3.303160549e-06 1.286181351e-33 0
5655986.461 3.422349717e-06 1.33259111e-33 0
6155986.501 3.545275226e-06 1.380455722e-33 0
6700187.504 3.672070342e-06 1.429827078e-33 0
7292496.917 3.802842101e-06 1.480746855e-33 0
7937167.617 3.937643877e-06 1.533235835e-33 0
8638828.443 4.076624525e-06 1.587351981e-33 0
9402517.43 4.219919712e-06 1.643148118e-33 0
10233717.99 4.367587287e-06 1.70064677e-33 0
11138398.26 4.519753995e-06 1.759897291e-33 0
12123054.01 4.676581665e-06 1.820962692e-33 0
13194755.22 4.838170155e-06 1.883881857e-33 0
14361196.86 5.004595855e-06 1.948684529e-33 0
15630754.18 5.176045406e-06 2.015443384e-33 0
17012542.8 5.352677086e-06 2.084220051e-33 0
18516484.18 5.534512847e-06 2.155023078e-33 0
20153376.86 5.721759827e-06 2.22793312e-33 0
21934973.99 5.914600652e-06 2.303021287e-33 0
23874067.72 6.113113326e-06 2.380317954e-33 0
25984581.05 6.317422796e-06 2.459871771e-33 0
28281667.8 6.527757733e-06 2.541771778e-33 0
30781821.43 6.744269645e-06 2.62607697e-33 0
33502993.42 6.96699977e-06 2.712803403e-33 0
36464722.23 7.19621028e-06 2.802053163e-33 0
39688273.55 7.432111983e-06 2.893908332e-33 0
43196792.97 7.67474763e-06 2.988385558e-33 0
47015472.24 7.924325981e-06 3.085566126e-33 0
51171730.07 8.181115162e-06 3.185554441e-33 0
55695409.06 8.445236298e-06 3.288397665e-33 0
60618989.93 8.716785508e-06 3.394133224e-33 0
65977824.8 8.996084119e-06 3.502886238e-33 0
71810390.93 9.283367311e-06 3.61474828e-33 0
78158567.08 9.578606192e-06 3.7297081e-33 0
85067934.16 9.88216558e-06 3.847907751e-33 0
92588102.54 1.019432979e-05 3.969457941e-33 0
100773068.2 1.051516552e-05 4.094384633e-33 0
109681600.5 1.084487064e-05 4.222764885e-33 0
119377664.2 1.118382331e-05 4.354745936e-33 0
129930878.4 1.1532221e-05 4.490404682e-33 0
141417017 1.18900885e-05 4.629750769e-33 0
153918552.3 1.225787126e-05 4.772957655e-33 0
167525247.2 1.263588118e-05 4.920146778e-33 0
182334800.1 1.302411232e-05 5.071315833e-33 0
198453545.8 1.342292325e-05 5.226604431e-33 0
215997219.5 1.383273279e-05 5.38617566e-33 0
235091787.5 1.42536624e-05 5.550076811e-33 0
255874352 1.468585266e-05 5.718362624e-33 0
278494135 1.512982715e-05 5.891236966e-33 0
303113550.2 1.55859049e-05 6.068824063e-33 0
329909368.8 1.605397909e-05 6.251082325e-33 0
359073989.1 1.653465838e-05 6.438248746e-33 0
390816817.8 1.702836096e-05 6.63048616e-33 0
425365773.3 1.753509853e-05 6.82779913e-33 0
462968922.7 1.805520652e-05 7.030318261e-33 0
503896262.5 1.858927021e-05 7.238271443e-33 0
548441657.6 1.913751238e-05 7.451745433e-33 6.58501e-09
596924951 1.969994924e-05 7.670746536e-33 6.53951e-09
649694260.4 2.027729576e-05 7.895553146e-33 5.34748e-08
707128477.9 2.086998531e-05 8.126334011e-33 5.31181e-08
769639990.2 2.14778994e-05 8.363042989e-33 1.60073e-07
837677640.1 2.210166253e-05 8.605923255e-33 3.32364e-07
911729948.5 2.274188451e-05 8.855212248e-33 3.30754e-07
992328622.9 2.339863787e-05 9.110938214e-33 6.68236e-07
1080052375 2.407216473e-05 9.373195432e-33 6.65807e-07
1175531074 2.47632711e-05 9.642297738e-33 1.15562e-06
1279450273 2.54723459e-05 9.918396575e-33 2.01255e-06
1392556129 2.619918985e-05 1.020141435e-32 2.00813e-06
1515660759 2.694476837e-05 1.049172696e-32 3.09754e-06
1649648074 2.770966647e-05 1.078956222e-32 3.09116e-06
1795480125 2.849376644e-05 1.109487428e-32 4.75277e-06
1954204008 2.929766106e-05 1.140789397e-32 6.67286e-06
2126959387 3.012220806e-05 1.172895525e-32 6.65825e-06
2314986672 3.096760723e-05 1.205813594e-32 9.30164e-06
2519635929 3.183390863e-05 1.239545551e-32 1.0808e-05
2742376573 3.272220754e-05 1.274134045e-32 1.22392e-05
2984807917 3.363308036e-05 1.30960152e-32 1.66469e-05
3248670656 3.456619326e-05 1.345934976e-32 1.60761e-05
3535859367 3.552263843e-05 1.383176943e-32 2.04591e-05
3848436109 3.650325082e-05 1.42135993e-32 2.32164e-05
4188645235 3.750797083e-05 1.460481618e-32 2.59721e-05
4558929500 3.853725985e-05 1.50055997e-32 3.23932e-05
4961947603 3.959230344e-05 1.541641152e-32 3.23569e-05
5400593279 4.067352176e-05 1.583741523e-32 4.02772e-05
5878016072 4.178063876e-05 1.626850334e-32 4.72882e-05
6397643956 4.291512677e-05 1.671024915e-32 4.96406e-05
