# Collapsar-like analytic profile with exponential cutoff
# rho(r) = rho0*(r/r0)^(-alpha)*exp[-(r-r0)/Rcut]
# columns:
# r_cm dens_gcm3 temp_MeV ye pres_dummy entr_dummy
1e+06 1.003e+12 63.1904 0.1 6.33803e+13 0.00631273
1.00385e+06 9.91518e+11 62.9966 0.100133 6.24623e+13 0.00631758
1.00771e+06 9.80163e+11 62.8034 0.100267 6.15576e+13 0.00632243
1.01158e+06 9.68938e+11 62.6108 0.1004 6.0666e+13 0.00632728
1.01547e+06 9.57842e+11 62.4188 0.100534 5.97873e+13 0.00633214
1.01938e+06 9.46873e+11 62.2273 0.100667 5.89214e+13 0.006337
1.0233e+06 9.36029e+11 62.0365 0.1008 5.8068e+13 0.00634187
1.02724e+06 9.2531e+11 61.8462 0.100934 5.72269e+13 0.00634674
1.03119e+06 9.14713e+11 61.6565 0.101067 5.6398e+13 0.00635161
1.03515e+06 9.04238e+11 61.4674 0.1012 5.55812e+13 0.00635649
1.03914e+06 8.93883e+11 61.2789 0.101334 5.47761e+13 0.00636137
1.04313e+06 8.83646e+11 61.0909 0.101467 5.39828e+13 0.00636625
1.04714e+06 8.73526e+11 60.9036 0.101601 5.32009e+13 0.00637114
1.05117e+06 8.63523e+11 60.7168 0.101734 5.24303e+13 0.00637603
1.05522e+06 8.53634e+11 60.5305 0.101867 5.16709e+13 0.00638093
1.05927e+06 8.43858e+11 60.3449 0.102001 5.09225e+13 0.00638583
1.06335e+06 8.34194e+11 60.1598 0.102134 5.01849e+13 0.00639073
1.06744e+06 8.24641e+11 59.9753 0.102267 4.94581e+13 0.00639564
1.07154e+06 8.15197e+11 59.7913 0.102401 4.87417e+13 0.00640055
1.07567e+06 8.05861e+11 59.6079 0.102534 4.80357e+13 0.00640547
1.0798e+06 7.96632e+11 59.4251 0.102668 4.734e+13 0.00641038
1.08396e+06 7.87509e+11 59.2429 0.102801 4.66543e+13 0.00641531
1.08813e+06 7.78491e+11 59.0612 0.102934 4.59786e+13 0.00642023
1.09231e+06 7.69575e+11 58.88 0.103068 4.53126e+13 0.00642516
1.09651e+06 7.60762e+11 58.6994 0.103201 4.46563e+13 0.0064301
1.10073e+06 7.5205e+11 58.5194 0.103334 4.40095e+13 0.00643503
1.10496e+06 7.43437e+11 58.3399 0.103468 4.33721e+13 0.00643997
1.10921e+06 7.34923e+11 58.161 0.103601 4.27438e+13 0.00644492
1.11348e+06 7.26507e+11 57.9826 0.103735 4.21247e+13 0.00644987
1.11776e+06 7.18187e+11 57.8047 0.103868 4.15146e+13 0.00645482
1.12206e+06 7.09962e+11 57.6274 0.104001 4.09133e+13 0.00645978
1.12638e+06 7.01832e+11 57.4507 0.104135 4.03207e+13 0.00646474
1.13071e+06 6.93794e+11 57.2745 0.104268 3.97367e+13 0.0064697
1.13506e+06 6.85849e+11 57.0988 0.104401 3.91611e+13 0.00647467
1.13942e+06 6.77994e+11 56.9237 0.104535 3.85939e+13 0.00647964
1.14381e+06 6.7023e+11 56.7491 0.104668 3.80349e+13 0.00648462
1.14821e+06 6.62554e+11 56.575 0.104802 3.7484e+13 0.00648959
1.15262e+06 6.54967e+11 56.4015 0.104935 3.69411e+13 0.00649458
1.15706e+06 6.47466e+11 56.2285 0.105068 3.6406e+13 0.00649956
1.16151e+06 6.40051e+11 56.056 0.105202 3.58787e+13 0.00650455
1.16597e+06 6.32721e+11 55.8841 0.105335 3.5359e+13 0.00650955
1.17046e+06 6.25475e+11 55.7127 0.105468 3.48469e+13 0.00651455
1.17496e+06 6.18312e+11 55.5418 0.105602 3.43422e+13 0.00651955
1.17948e+06 6.11231e+11 55.3715 0.105735 3.38447e+13 0.00652456
1.18402e+06 6.04231e+11 55.2016 0.105869 3.33545e+13 0.00652957
1.18857e+06 5.97311e+11 55.0323 0.106002 3.28714e+13 0.00653458
1.19314e+06 5.90471e+11 54.8635 0.106135 3.23953e+13 0.0065396
1.19773e+06 5.83708e+11 54.6952 0.106269 3.19261e+13 0.00654462
1.20234e+06 5.77024e+11 54.5275 0.106402 3.14636e+13 0.00654964
1.20696e+06 5.70415e+11 54.3602 0.106536 3.10079e+13 0.00655467
1.21161e+06 5.63883e+11 54.1935 0.106669 3.05588e+13 0.0065597
1.21627e+06 5.57425e+11 54.0273 0.106802 3.01162e+13 0.00656474
1.22094e+06 5.51041e+11 53.8616 0.106936 2.968e+13 0.00656978
1.22564e+06 5.44731e+11 53.6964 0.107069 2.92501e+13 0.00657483
1.23035e+06 5.38492e+11 53.5317 0.107202 2.88264e+13 0.00657987
1.23509e+06 5.32325e+11 53.3675 0.107336 2.84089e+13 0.00658493
1.23984e+06 5.26229e+11 53.2038 0.107469 2.79974e+13 0.00658998
1.24461e+06 5.20203e+11 53.0406 0.107603 2.75919e+13 0.00659504
