# FLASH-like analytic profile
# columns:
# r_cm dens_gcm3 temp_MeV ye pres_dummy entr_dummy
0 3e+14 30.1 0.05 9.03e+15 0.000449634
200200 2.99999e+14 27.2424 0.0504505 8.1727e+15 0.000406948
400400 2.99802e+14 24.657 0.0509009 7.39222e+15 0.000368408
600601 2.95005e+14 22.3179 0.0513514 6.58389e+15 0.000335256
800801 2.56603e+14 20.2016 0.0518018 5.18378e+15 0.000317905
1.001e+06 1.494e+14 18.2868 0.0522523 2.73204e+15 0.000344631
1.2012e+06 5.62391e+13 16.5545 0.0527027 9.31007e+14 0.000432085
1.4014e+06 1.88959e+13 14.9871 0.0531532 2.83195e+14 0.000562682
1.6016e+06 6.7728e+12 13.5691 0.0536036 9.19007e+13 0.000717179
1.8018e+06 2.67654e+12 12.2861 0.0540541 3.28842e+13 0.000884891
2.002e+06 1.15805e+12 11.1253 0.0545045 1.28836e+13 0.00105943
2.2022e+06 5.41351e+11 10.0751 0.054955 5.45419e+12 0.00123621
2.4024e+06 2.70125e+11 9.12498 0.0554054 2.46488e+12 0.0014116
2.6026e+06 1.42447e+11 8.26532 0.0558559 1.17737e+12 0.00158262
2.8028e+06 7.8753e+10 7.48755 0.0563063 5.89667e+11 0.00174683
3.003e+06 4.53534e+10 6.78386 0.0567568 3.07671e+11 0.00190228
3.2032e+06 2.70649e+10 6.1472 0.0572072 1.66373e+11 0.00204743
3.4034e+06 1.66644e+10 5.57119 0.0576577 9.28405e+10 0.00218115
3.6036e+06 1.0549e+10 5.05004 0.0581081 5.32727e+10 0.00230263
3.8038e+06 6.84489e+09 4.57853 0.0585586 3.13396e+10 0.00241141
4.004e+06 4.54107e+09 4.15194 0.059009 1.88543e+10 0.00250725
4.2042e+06 3.07359e+09 3.76598 0.0594595 1.15751e+10 0.00259017
4.4044e+06 2.11846e+09 3.41678 0.0599099 7.23832e+09 0.00266038
4.6046e+06 1.4845e+09 3.10085 0.0603604 4.60321e+09 0.00271824
4.8048e+06 1.05612e+09 2.81501 0.0608108 2.97299e+09 0.00276424
5.00501e+06 7.61876e+08 2.5564 0.0612613 1.94765e+09 0.00279898
5.20521e+06 5.56695e+08 2.32242 0.0617117 1.29288e+09 0.00282315
5.40541e+06 4.11618e+08 2.11072 0.0621622 8.68812e+08 0.00283748
