# r z integrandT integrandL
1e-06 1e-06 1.30239e-07 3.39103e-11
1.06333e-06 1e-06 1.38473e-07 3.60542e-11
1.13066e-06 1e-06 1.47269e-07 3.83445e-11
1.20226e-06 1e-06 1.56575e-07 4.07675e-11
1.2784e-06 1e-06 1.66482e-07 4.33469e-11
1.35936e-06 1e-06 1.7704e-07 4.6096e-11
1.44544e-06 1e-06 1.88238e-07 4.90116e-11
1.53697e-06 1e-06 2.0017e-07 5.21183e-11
1.63431e-06 1e-06 2.12859e-07 5.54222e-11
1.7378e-06 1e-06 2.26319e-07 5.89266e-11
1.84785e-06 1e-06 2.40656e-07 6.26597e-11
1.96487e-06 1e-06 2.55905e-07 6.663e-11
2.0893e-06 1e-06 2.72113e-07 7.08502e-11
2.2216e-06 1e-06 2.89337e-07 7.53346e-11
2.36229e-06 1e-06 3.07663e-07 8.01063e-11
2.51189e-06 1e-06 3.27138e-07 8.51769e-11
2.67096e-06 1e-06 3.47855e-07 9.05711e-11
2.8401e-06 1e-06 3.69886e-07 9.63072e-11
3.01995e-06 1e-06 3.93313e-07 1.02407e-10
3.21119e-06 1e-06 4.18213e-07 1.0889e-10
3.41455e-06 1e-06 4.44705e-07 1.15788e-10
3.63078e-06 1e-06 4.72866e-07 1.2312e-10
3.86071e-06 1e-06 5.02808e-07 1.30916e-10
4.10519e-06 1e-06 5.34648e-07 1.39206e-10
4.36516e-06 1e-06 5.68506e-07 1.48022e-10
4.64159e-06 1e-06 6.0451e-07 1.57396e-10
4.93552e-06 1e-06 6.42794e-07 1.67364e-10
5.24807e-06 1e-06 6.83498e-07 1.77962e-10
5.58042e-06 1e-06 7.26781e-07 1.89232e-10
5.93381e-06 1e-06 7.72807e-07 2.01216e-10
6.30957e-06 1e-06 8.21745e-07 2.13958e-10
6.70914e-06 1e-06 8.73782e-07 2.27507e-10
7.134e-06 1e-06 9.29116e-07 2.41914e-10
7.58578e-06 1e-06 9.87951e-07 2.57233e-10
8.06616e-06 1e-06 1.05052e-06 2.73523e-10
8.57696e-06 1e-06 1.11704e-06 2.90844e-10
9.12011e-06 1e-06 1.18778e-06 3.09262e-10
9.69765e-06 1e-06 1.263e-06 3.28847e-10
1.03118e-05 1e-06 1.34298e-06 3.49671e-10
1.09648e-05 1e-06 1.42803e-06 3.71815e-10
1.16591e-05 1e-06 1.51846e-06 3.95361e-10
1.23975e-05 1e-06 1.61462e-06 4.20398e-10
1.31826e-05 1e-06 1.71686e-06 4.4702e-10
1.40174e-05 1e-06 1.82559e-06 4.75328e-10
1.4905e-05 1e-06 1.9412e-06 5.0543e-10
1.58489e-05 1e-06 2.06413e-06 5.37437e-10
1.68526e-05 1e-06 2.19484e-06 5.7147e-10
1.79198e-05 1e-06 2.33383e-06 6.07659e-10
1.90546e-05 1e-06 2.48162e-06 6.46141e-10
2.02613e-05 1e-06 2.63878e-06 6.87058e-10
2.15443e-05 1e-06 2.80588e-06 7.30568e-10
2.29087e-05 1e-06 2.98357e-06 7.76832e-10
2.43594e-05 1e-06 3.17251e-06 8.26026e-10
2.5902e-05 1e-06 3.37341e-06 8.78335e-10
2.75423e-05 1e-06 3.58704e-06 9.33958e-10
2.92864e-05 1e-06 3.81419e-06 9.93102e-10
3.11411e-05 1e-06 4.05573e-06 1.05599e-09
3.31131e-05 1e-06 4.31257e-06 1.12286e-09
3.52101e-05 1e-06 4.58567e-06 1.19397e-09
3.74398e-05 1e-06 4.87606e-06 1.26958e-09
3.98107e-05 1e-06 5.18485e-06 1.34998e-09
4.23318e-05 1e-06 5.51319e-06 1.43547e-09
4.50125e-05 1e-06 5.86232e-06 1.52637e-09
4.7863e-05 1e-06 6.23356e-06 1.62303e-09
5.0894e-05 1e-06 6.62831e-06 1.72581e-09
5.4117e-05 1e-06 7.04806e-06 1.8351e-09
5.7544e-05 1e-06 7.49439e-06 1.95131e-09
6.11881e-05 1e-06 7.96898e-06 2.07488e-09
6.50629e-05 1e-06 8.47363e-06 2.20628e-09
6.91831e-05 1e-06 9.01023e-06 2.346e-09
7.35642e-05 1e-06 9.58082e-06 2.49456e-09
7.82228e-05 1e-06 1.01875e-05 2.65253e-09
8.31764e-05 1e-06 1.08327e-05 2.82051e-09
8.84437e-05 1e-06 1.15187e-05 2.99912e-09
9.40445e-05 1e-06 1.22481e-05 3.18904e-09
0.0001 1e-06 1.30238e-05 3.39099e-09
0.000106333 1e-06 1.38485e-05 3.60573e-09
0.000113066 1e-06 1.47255e-05 3.83407e-09
0.000120226 1e-06 1.5658e-05 4.07687e-09
0.00012784 1e-06 1.66496e-05 4.33505e-09
0.000135936 1e-06 1.77039e-05 4.60957e-09
0.000144544 1e-06 1.8825e-05 4.90148e-09
0.000153697 1e-06 2.00172e-05 5.21187e-09
0.000163431 1e-06 2.12848e-05 5.54192e-09
0.00017378 1e-06 2.26327e-05 5.89287e-09
0.000184785 1e-06 2.40659e-05 6.26605e-09
0.000196487 1e-06 2.55899e-05 6.66286e-09
0.00020893 1e-06 2.72105e-05 7.08479e-09
0.00022216 1e-06 2.89336e-05 7.53345e-09
0.000236229 1e-06 3.07659e-05 8.01051e-09
0.000251189 1e-06 3.27142e-05 8.51779e-09
0.000267096 1e-06 3.47859e-05 9.0572e-09
0.00028401 1e-06 3.69887e-05 9.63076e-09
0.000301995 1e-06 3.93311e-05 1.02406e-08
0.000321119 1e-06 4.18218e-05 1.08891e-08
0.000341455 1e-06 4.44702e-05 1.15787e-08
0.000363078 1e-06 4.72864e-05 1.2312e-08
0.000386071 1e-06 5.02809e-05 1.30916e-08
0.000410519 1e-06 5.3465e-05 1.39207e-08
0.000436516 1e-06 5.68507e-05 1.48022e-08
0.000464159 1e-06 6.04509e-05 1.57396e-08
0.000493552 1e-06 6.4279e-05 1.67363e-08
0.000524807 1e-06 6.83496e-05 1.77962e-08
0.000558042 1e-06 7.2678e-05 1.89232e-08
0.000593381 1e-06 7.72804e-05 2.01215e-08
0.000630957 1e-06 8.21743e-05 2.13957e-08
0.000670914 1e-06 8.73781e-05 2.27506e-08
0.0007134 1e-06 9.29115e-05 2.41914e-08
0.000758578 1e-06 9.87952e-05 2.57233e-08
0.000806616 1e-06 0.000105052 2.73523e-08
0.000857696 1e-06 0.000111704 2.90844e-08
0.000912011 1e-06 0.000118778 3.09262e-08
0.000969765 1e-06 0.0001263 3.28847e-08
0.00103118 1e-06 0.000134298 3.49672e-08
0.00109648 1e-06 0.000142803 3.71815e-08
0.00116591 1e-06 0.000151846 3.95361e-08
0.00123975 1e-06 0.000161462 4.20398e-08
0.00131826 1e-06 0.000171686 4.4702e-08
0.00140174 1e-06 0.000182559 4.75328e-08
0.0014905 1e-06 0.00019412 5.05429e-08
0.00158489 1e-06 0.000206412 5.37436e-08
0.00168526 1e-06 0.000219484 5.7147e-08
0.00179198 1e-06 0.000233383 6.07659e-08
0.00190546 1e-06 0.000248162 6.4614e-08
0.00202613 1e-06 0.000263878 6.87058e-08
0.00215443 1e-06 0.000280588 7.30567e-08
0.00229087 1e-06 0.000298357 7.76832e-08
0.00243594 1e-06 0.000317251 8.26026e-08
0.0025902 1e-06 0.000337341 8.78335e-08
0.00275423 1e-06 0.000358704 9.33957e-08
0.00292864 1e-06 0.000381419 9.93101e-08
0.00311411 1e-06 0.000405573 1.05599e-07
0.00331131 1e-06 0.000431256 1.12286e-07
0.00352101 1e-06 0.000458566 1.19397e-07
0.00374398 1e-06 0.000487606 1.26958e-07
0.00398107 1e-06 0.000518484 1.34998e-07
0.00423318 1e-06 0.000551318 1.43547e-07
0.00450125 1e-06 0.00058623 1.52637e-07
0.0047863 1e-06 0.000623354 1.62303e-07
0.0050894 1e-06 0.000662829 1.72581e-07
0.0054117 1e-06 0.000704803 1.8351e-07
0.0057544 1e-06 0.000749436 1.95131e-07
0.00611881 1e-06 0.000796894 2.07487e-07
0.00650629 1e-06 0.000847358 2.20627e-07
0.00691831 1e-06 0.000901018 2.34598e-07
0.00735642 1e-06 0.000958075 2.49454e-07
0.00782228 1e-06 0.00101875 2.65251e-07
0.00831764 1e-06 0.00108326 2.82048e-07
0.00884437 1e-06 0.00115186 2.99909e-07
0.00940445 1e-06 0.0012248 3.18901e-07
0.01 1e-06 0.00130236 3.39095e-07
0.0106333 1e-06 0.00138483 3.60568e-07
0.0113066 1e-06 0.00147252 3.83401e-07
0.0120226 1e-06 0.00156577 4.07679e-07
0.012784 1e-06 0.00166492 4.33495e-07
0.0135936 1e-06 0.00177035 4.60946e-07
0.0144544 1e-06 0.00188245 4.90134e-07
0.0153697 1e-06 0.00200165 5.2117e-07
0.0163431 1e-06 0.0021284 5.54172e-07
0.017378 1e-06 0.00226317 5.89263e-07
0.0184785 1e-06 0.00240648 6.26575e-07
0.0196487 1e-06 0.00255886 6.6625e-07
0.020893 1e-06 0.00272088 7.08436e-07
0.022216 1e-06 0.00289316 7.53292e-07
0.0236229 1e-06 0.00307634 8.00988e-07
0.0251189 1e-06 0.00327112 8.51702e-07
0.0267096 1e-06 0.00347823 9.05627e-07
0.028401 1e-06 0.00369844 9.62963e-07
0.0301995 1e-06 0.00393259 1.02393e-06
0.0321119 1e-06 0.00418155 1.08875e-06
0.0341455 1e-06 0.00444626 1.15767e-06
0.0363078 1e-06 0.00472771 1.23096e-06
0.0386071 1e-06 0.00502697 1.30887e-06
0.0410519 1e-06 0.00534515 1.39172e-06
0.0436516 1e-06 0.00568344 1.4798e-06
0.0464159 1e-06 0.00604312 1.57345e-06
0.0493552 1e-06 0.00642553 1.67302e-06
0.0524807 1e-06 0.00683209 1.77888e-06
0.0558042 1e-06 0.00726433 1.89142e-06
0.0593381 1e-06 0.00772385 2.01107e-06
0.0630957 1e-06 0.00821238 2.13826e-06
0.0670914 1e-06 0.00873171 2.27348e-06
0.07134 1e-06 0.00928378 2.41723e-06
0.0758578 1e-06 0.00987063 2.57003e-06
0.0806616 1e-06 0.0104944 2.73245e-06
0.0857696 1e-06 0.0111575 2.90509e-06
0.0912011 1e-06 0.0118622 3.08857e-06
0.0969765 1e-06 0.0126111 3.28358e-06
0.103118 1e-06 0.013407 3.49082e-06
0.109648 1e-06 0.0142528 3.71103e-06
0.116591 1e-06 0.0151515 3.94502e-06
0.123975 1e-06 0.0161062 4.19362e-06
0.131826 1e-06 0.0171204 4.4577e-06
0.140174 1e-06 0.0181977 4.7382e-06
0.14905 1e-06 0.0193418 5.0361e-06
0.158489 1e-06 0.0205567 5.35243e-06
0.168526 1e-06 0.0218464 5.68825e-06
0.179198 1e-06 0.0232154 6.0447e-06
0.190546 1e-06 0.024668 6.42295e-06
0.202613 1e-06 0.0262091 6.82423e-06
0.215443 1e-06 0.0278435 7.2498e-06
0.229087 1e-06 0.0295762 7.70097e-06
0.243594 1e-06 0.0314124 8.17911e-06
0.25902 1e-06 0.0333575 8.68558e-06
0.275423 1e-06 0.0354167 9.22179e-06
0.292864 1e-06 0.0375956 9.78916e-06
0.311411 1e-06 0.0398995 1.03891e-05
0.331131 1e-06 0.0423338 1.1023e-05
0.352101 1e-06 0.0449036 1.16922e-05
0.374398 1e-06 0.0476139 1.2398e-05
0.398107 1e-06 0.0504692 1.31415e-05
0.423318 1e-06 0.0534734 1.39239e-05
0.450125 1e-06 0.0566297 1.47459e-05
0.47863 1e-06 0.0599405 1.56081e-05
0.50894 1e-06 0.0634067 1.65108e-05
0.54117 1e-06 0.067028 1.74539e-05
0.57544 1e-06 0.0708019 1.84368e-05
0.611881 1e-06 0.074724 1.94584e-05
0.650629 1e-06 0.078787 2.05166e-05
0.691831 1e-06 0.0829803 2.16089e-05
0.735642 1e-06 0.0872897 2.27314e-05
0.782228 1e-06 0.0916966 2.38794e-05
0.831764 1e-06 0.0961773 2.50467e-05
0.884437 1e-06 0.100703 2.62257e-05
0.940445 1e-06 0.105237 2.74071e-05
1 1e-06 0.109738 2.85801e-05
1.06333 1e-06 0.114157 2.97317e-05
1.13066 1e-06 0.118437 3.08471e-05
1.20226 1e-06 0.122514 3.19098e-05
1.2784 1e-06 0.126317 3.29013e-05
1.35936 1e-06 0.129769 3.38016e-05
1.44544 1e-06 0.132791 3.45899e-05
1.53697 1e-06 0.135298 3.52445e-05
1.63431 1e-06 0.137212 3.57444e-05
1.7378 1e-06 0.138455 3.60699e-05
1.84785 1e-06 0.138963 3.62039e-05
1.96487 1e-06 0.138685 3.61333e-05
2.0893 1e-06 0.137591 3.58502e-05
2.2216 1e-06 0.135676 3.53533e-05
2.36229 1e-06 0.132964 3.46489e-05
2.51189 1e-06 0.129509 3.37509e-05
2.67096 1e-06 0.125396 3.26814e-05
2.8401 1e-06 0.120734 3.14686e-05
3.01995 1e-06 0.11565 3.0146e-05
3.21119 1e-06 0.110282 2.87492e-05
3.41455 1e-06 0.104766 2.73136e-05
3.63078 1e-06 0.0992239 2.58713e-05
3.86071 1e-06 0.0937601 2.44492e-05
4.10519 1e-06 0.0884523 2.30675e-05
4.36516 1e-06 0.0833522 2.17399e-05
4.64159 1e-06 0.0784884 2.04737e-05
4.93552 1e-06 0.0738713 1.92717e-05
5.24807 1e-06 0.0694991 1.81334e-05
5.58042 1e-06 0.0653626 1.70564e-05
5.93381 1e-06 0.0614495 1.60375e-05
6.30957 1e-06 0.0577467 1.50733e-05
6.70914 1e-06 0.054241 1.41603e-05
7.134 1e-06 0.0509199 1.32953e-05
7.58578 1e-06 0.0477717 1.24753e-05
8.06616 1e-06 0.0447857 1.16975e-05
8.57696 1e-06 0.0419517 1.09591e-05
9.12011 1e-06 0.0392604 1.02578e-05
9.69765 1e-06 0.0367031 9.59129e-06
10.3118 1e-06 0.034272 8.95758e-06
10.9648 1e-06 0.0319598 8.35475e-06
11.6591 1e-06 0.0297599 7.78108e-06
12.3975 1e-06 0.0276663 7.23502e-06
13.1826 1e-06 0.0256737 6.71518e-06
14.0174 1e-06 0.0237772 6.22032e-06
14.905 1e-06 0.0219727 5.74932e-06
15.8489 1e-06 0.0202564 5.30124e-06
16.8526 1e-06 0.018625 4.87522e-06
17.9198 1e-06 0.0170759 4.47056e-06
19.0546 1e-06 0.0156065 4.08664e-06
20.2613 1e-06 0.014215 3.72295e-06
21.5443 1e-06 0.0128996 3.37907e-06
22.9087 1e-06 0.0116589 3.05462e-06
24.3594 1e-06 0.0104917 2.74931e-06
25.902 1e-06 0.00939695 2.46288e-06
27.5423 1e-06 0.00837374 2.19508e-06
29.2864 1e-06 0.00742112 1.9457e-06
31.1411 1e-06 0.00653812 1.71448e-06
33.1131 1e-06 0.00572368 1.50115e-06
35.2101 1e-06 0.00497658 1.30542e-06
37.4398 1e-06 0.00429536 1.1269e-06
39.8107 1e-06 0.00367833 9.6517e-07
42.3318 1e-06 0.00312348 8.19701e-07
45.0125 1e-06 0.00262847 6.89893e-07
47.863 1e-06 0.00219062 5.7505e-07
50.894 1e-06 0.00180691 4.74389e-07
54.117 1e-06 0.00147403 3.87043e-07
57.544 1e-06 0.00118834 3.12069e-07
61.1881 1e-06 0.000946014 2.48461e-07
65.0629 1e-06 0.000743024 1.9517e-07
69.1831 1e-06 0.000575261 1.51121e-07
73.5642 1e-06 0.000438599 1.15232e-07
78.2228 1e-06 0.00032898 8.64411e-08
83.1764 1e-06 0.000242494 6.37227e-08
88.4437 1e-06 0.000175454 4.61103e-08
94.0445 1e-06 0.00012446 3.27118e-08
100 1e-06 8.64449e-05 2.27222e-08

1e-06 0.010001 1.2766e-07 3.39103e-11
1.06333e-06 0.010001 1.35731e-07 3.60542e-11
1.13066e-06 0.010001 1.44353e-07 3.83445e-11
