# Enu_GeV sigma_cm2 tau survival_probability
1000 2.44783e-35 5.34198e+09 0
3359.82 2.08897e-34 4.55882e+10 0
11288.4 1.34483e-33 2.93486e+11 0
37926.9 6.29233e-33 1.37319e+12 0
127427 1.95605e-32 4.26875e+12 0
428133 4.60091e-32 1.00407e+13 0
1.43845e+06 8.84457e-32 1.93018e+13 0
4.83293e+06 1.50405e-31 3.28234e+13 0
1.62378e+07 2.26474e-31 4.94241e+13 0
5.45559e+07 3.13851e-31 6.84927e+13 0
1.83298e+08 4.32089e-31 9.42961e+13 0
6.15848e+08 5.52934e-31 1.20669e+14 0
2.06914e+09 6.98658e-31 1.5247e+14 0
6.95193e+09 8.55381e-31 1.86672e+14 0
2.33572e+10 1.02442e-30 2.23562e+14 0
7.8476e+10 1.20739e-30 2.63493e+14 0
2.63665e+11 1.40196e-30 3.05954e+14 0
8.85867e+11 1.62064e-30 3.53677e+14 0
2.97635e+12 1.85864e-30 4.05617e+14 0
1e+13 2.1101e-30 4.60494e+14 0
