# x Q2 FT FL F2
1e-08 6460.78 1.42925 0.000382374 1.42963
1.22321e-08 6460.78 1.41515 0.0003786 1.41553
1.49624e-08 6460.78 1.40052 0.00037468 1.40089
1.83021e-08 6460.78 1.38538 0.000370627 1.38576
2.23872e-08 6460.78 1.36981 0.000366455 1.37017
2.73842e-08 6460.78 1.35384 0.000362179 1.3542
3.34965e-08 6460.78 1.33753 0.000357811 1.33789
4.09732e-08 6460.78 1.32094 0.000353366 1.32129
5.01187e-08 6460.78 1.3041 0.000348858 1.30445
6.13056e-08 6460.78 1.28707 0.000344298 1.28742
7.49894e-08 6460.78 1.2699 0.000339698 1.27024
9.17276e-08 6460.78 1.25262 0.000335071 1.25295
1.12202e-07 6460.78 1.23527 0.000330427 1.2356
1.37246e-07 6460.78 1.2179 0.000325774 1.21822
1.6788e-07 6460.78 1.20053 0.000321123 1.20085
2.05353e-07 6460.78 1.18319 0.000316481 1.18351
2.51189e-07 6460.78 1.16591 0.000311856 1.16623
3.07256e-07 6460.78 1.14872 0.000307253 1.14903
3.75837e-07 6460.78 1.13163 0.000302677 1.13193
4.59727e-07 6460.78 1.11466 0.000298134 1.11496
5.62341e-07 6460.78 1.09783 0.000293627 1.09812
6.8786e-07 6460.78 1.08113 0.00028916 1.08142
8.41395e-07 6460.78 1.0646 0.000284733 1.06488
1.0292e-06 6460.78 1.04822 0.00028035 1.0485
1.25893e-06 6460.78 1.03201 0.000276012 1.03229
1.53993e-06 6460.78 1.01597 0.000271718 1.01624
1.88365e-06 6460.78 1.00009 0.000267471 1.00036
2.30409e-06 6460.78 0.984391 0.000263269 0.984654
2.81838e-06 6460.78 0.968856 0.000259112 0.969115
3.44747e-06 6460.78 0.953488 0.000255 0.953743
4.21697e-06 6460.78 0.938285 0.000250933 0.938536
5.15822e-06 6460.78 0.923246 0.00024691 0.923493
6.30957e-06 6460.78 0.908366 0.00024293 0.908609
7.71792e-06 6460.78 0.893644 0.000238992 0.893883
9.44061e-06 6460.78 0.879077 0.000235096 0.879312
1.15478e-05 6460.78 0.864662 0.000231241 0.864893
1.41254e-05 6460.78 0.850396 0.000227426 0.850623
1.72783e-05 6460.78 0.836276 0.00022365 0.8365
2.11349e-05 6460.78 0.8223 0.000219913 0.82252
2.58523e-05 6460.78 0.808466 0.000216214 0.808682
3.16228e-05 6460.78 0.794771 0.000212553 0.794983
3.86812e-05 6460.78 0.781212 0.000208928 0.781421
4.73151e-05 6460.78 0.767788 0.000205339 0.767993
5.78762e-05 6460.78 0.754496 0.000201786 0.754698
7.07946e-05 6460.78 0.741334 0.000198268 0.741532
8.65964e-05 6460.78 0.7283 0.000194784 0.728495
0.000105925 6460.78 0.715392 0.000191334 0.715583
0.000129569 6460.78 0.702608 0.000187917 0.702796
0.000158489 6460.78 0.689947 0.000184533 0.690131
0.000193865 6460.78 0.677406 0.000181182 0.677587
0.000237137 6460.78 0.664984 0.000177862 0.665162
0.000290068 6460.78 0.65268 0.000174574 0.652854
0.000354813 6460.78 0.640492 0.000171317 0.640663
0.00043401 6460.78 0.628418 0.000168091 0.628586
0.000530884 6460.78 0.616458 0.000164895 0.616623
0.000649382 6460.78 0.60461 0.000161729 0.604772
0.000794328 6460.78 0.592874 0.000158593 0.593032
0.000971628 6460.78 0.581248 0.000155487 0.581403
0.0011885 6460.78 0.569732 0.000152409 0.569884
0.00145378 6460.78 0.558324 0.000149361 0.558474
0.00177828 6460.78 0.547025 0.000146342 0.547172
0.0021752 6460.78 0.535834 0.000143352 0.535978
0.00266073 6460.78 0.524751 0.00014039 0.524891
0.00325462 6460.78 0.513775 0.000137458 0.513913
0.00398107 6460.78 0.502907 0.000134553 0.503041
0.00486968 6460.78 0.492145 0.000131678 0.492277
0.00595662 6460.78 0.481491 0.000128831 0.48162
0.00728618 6460.78 0.470945 0.000126012 0.471071
0.00891251 6460.78 0.460506 0.000123223 0.460629
0.0109018 6460.78 0.450176 0.000120462 0.450296
0.0133352 6460.78 0.439954 0.000117731 0.440072
0.0163117 6460.78 0.429842 0.000115028 0.429957
0.0199526 6460.78 0.41984 0.000112355 0.419952
0.0244062 6460.78 0.409948 0.000109711 0.410058
0.0298538 6460.78 0.400168 0.000107097 0.400275
0.0365174 6460.78 0.3905 0.000104513 0.390605
0.0446684 6460.78 0.380946 0.000101959 0.381048
0.0546387 6460.78 0.371506 9.94359e-05 0.371605
0.0668344 6460.78 0.362181 9.69433e-05 0.362278
0.0817523 6460.78 0.352973 9.44816e-05 0.353067
0.1 6460.78 0.343882 9.20514e-05 0.343974
