# x Q2 FT_GBW FL_GBW F2_GBW xF3 FT_IIM FL_IIM F2_IIM
1e-08 6460.78 1.42781 0.000381989 1.42819 8.64131 0.571113 0.000152893 0.571266
1.1885e-08 6460.78 1.41574 0.000378757 1.41612 8.24875 0.561114 0.000150217 0.561265
1.41254e-08 6460.78 1.40328 0.000375419 1.40365 7.8745 0.55124 0.000147575 0.551387
1.6788e-08 6460.78 1.39044 0.000371982 1.39082 7.51744 0.541488 0.000144966 0.541633
1.99526e-08 6460.78 1.37727 0.000368455 1.37764 7.17626 0.531859 0.000142389 0.532001
2.37137e-08 6460.78 1.3638 0.000364846 1.36416 6.85044 0.522352 0.000139846 0.522491
2.81838e-08 6460.78 1.35005 0.000361164 1.35041 6.53985 0.512966 0.000137334 0.513103
3.34965e-08 6460.78 1.33607 0.000357419 1.33642 6.24366 0.503699 0.000134855 0.503834
3.98107e-08 6460.78 1.32187 0.000353617 1.32223 5.96016 0.494552 0.000132407 0.494685
4.73151e-08 6460.78 1.3075 0.000349769 1.30785 5.69013 0.485524 0.000129991 0.485654
5.62341e-08 6460.78 1.29298 0.000345881 1.29333 5.4321 0.476613 0.000127607 0.476741
6.68344e-08 6460.78 1.27835 0.000341961 1.27869 5.18625 0.467818 0.000125253 0.467943
7.94328e-08 6460.78 1.26362 0.000338017 1.26396 4.95126 0.459139 0.000122931 0.459262
9.44061e-08 6460.78 1.24883 0.000334056 1.24916 4.72714 0.450574 0.000120639 0.450695
1.12202e-07 6460.78 1.23399 0.000330083 1.23432 4.51328 0.442124 0.000118378 0.442242
1.33352e-07 6460.78 1.21914 0.000326106 1.21946 4.30909 0.433785 0.000116146 0.433901
1.58489e-07 6460.78 1.20428 0.000322128 1.2046 4.11426 0.425557 0.000113945 0.425671
1.88365e-07 6460.78 1.18945 0.000318157 1.18977 3.92819 0.417441 0.000111773 0.417553
2.23872e-07 6460.78 1.17465 0.000314195 1.17497 3.75109 0.409435 0.00010963 0.409545
2.66073e-07 6460.78 1.15991 0.000310248 1.16022 3.58173 0.401539 0.000107517 0.401647
3.16228e-07 6460.78 1.14523 0.000306318 1.14554 3.42037 0.393752 0.000105433 0.393858
3.75837e-07 6460.78 1.13063 0.00030241 1.13093 3.26616 0.386072 0.000103378 0.386176
4.46684e-07 6460.78 1.11612 0.000298525 1.11642 3.11915 0.378499 0.000101351 0.378601
5.30884e-07 6460.78 1.10171 0.000294667 1.102 2.9789 0.371031 9.93525e-05 0.371131
6.30957e-07 6460.78 1.0874 0.000290836 1.08769 2.84499 0.363668 9.73818e-05 0.363765
7.49894e-07 6460.78 1.0732 0.000287036 1.07349 2.71733 0.356407 9.54387e-05 0.356503
8.91251e-07 6460.78 1.05912 0.000283266 1.0594 2.59564 0.349251 9.35233e-05 0.349344
1.05925e-06 6460.78 1.04515 0.000279529 1.04543 2.47952 0.342197 9.16355e-05 0.342289
1.25893e-06 6460.78 1.03131 0.000275824 1.03158 2.36835 0.335245 8.97748e-05 0.335335
1.49624e-06 6460.78 1.01759 0.000272152 1.01786 2.26288 0.328393 8.79408e-05 0.328481
1.77828e-06 6460.78 1.00399 0.000268513 1.00426 2.16212 0.321639 8.61332e-05 0.321725
2.11349e-06 6460.78 0.990518 0.000264908 0.990783 2.06614 0.314984 8.43519e-05 0.315068
2.51189e-06 6460.78 0.977169 0.000261336 0.977431 1.97462 0.308426 8.25967e-05 0.308509
2.98538e-06 6460.78 0.963943 0.000257798 0.964201 1.88733 0.301965 8.08672e-05 0.302046
3.54813e-06 6460.78 0.950839 0.000254292 0.951093 1.8042 0.295598 7.91631e-05 0.295677
4.21697e-06 6460.78 0.937855 0.000250818 0.938106 1.72492 0.289326 7.74842e-05 0.289403
5.01187e-06 6460.78 0.924991 0.000247377 0.925238 1.64949 0.283147 7.58303e-05 0.283223
5.95662e-06 6460.78 0.912243 0.000243967 0.912487 1.57742 0.27706 7.42011e-05 0.277134
7.07946e-06 6460.78 0.899611 0.000240588 0.899852 1.509 0.271065 7.25964e-05 0.271138
8.41395e-06 6460.78 0.887094 0.00023724 0.887331 1.44392 0.26516 7.10157e-05 0.265231
1e-05 6460.78 0.874688 0.000233922 0.874922 1.38199 0.259343 6.94587e-05 0.259413
1.1885e-05 6460.78 0.862393 0.000230634 0.862624 1.32304 0.253615 6.79253e-05 0.253683
1.41254e-05 6460.78 0.850206 0.000227375 0.850434 1.267 0.247974 6.64153e-05 0.248041
1.6788e-05 6460.78 0.838127 0.000224145 0.838351 1.21379 0.24242 6.49286e-05 0.242485
