# model GBW
# gerado_por sigma_nuN (PHASIS/dipole)
# formalismo Kutak-Kwiecinski EPJ C29 (2003) 521, eqs (2),(8),(9),(12),(13)
# beam nu
# use_F3 1  pdf_set CT10nlo
# Q2min_GeV2 1
# largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s=4]
# GBW sigma0_mb 29.12  lambda 0.277  x0 4.1e-05  Q0sq 1
# massas_GeV  u 0.03  d 0.03  s 0.03  c 1.3113
# canais ud, cs
# quadratura_rz  Nr 120  Nz 120  rMin 1e-08  rMax 1000  zMin 1e-11   [ln r; z log nas duas pontas]
# tabela_F  Nx 121  NQ 121  xMin 2.664472562e-15  xMax 1  Q2Min 1  Q2Max 1.968400829e+14
# integracao_sigma  nos_por_decada_Q 16  nos_por_decada_x 16
# Enu_GeV sigma_GeV_minus2 sigma_cm2
1000 9.93350375e-09 3.867897757e-36
1088.401916 1.088439405e-08 4.23815447e-36
1184.618731 1.193400427e-08 4.64685065e-36
1289.341297 1.302791899e-08 5.072798069e-36
1403.321538 1.415644912e-08 5.512224004e-36
1527.37785 1.551180427e-08 6.039970834e-36
1662.400979 1.689739704e-08 6.579491563e-36
1809.360411 1.843655929e-08 7.178809018e-36
1969.311338 2.006714178e-08 7.813723601e-36
2143.402234 2.190693571e-08 8.530100721e-36
2332.883098 2.380215089e-08 9.268057711e-36
2539.114434 2.596855448e-08 1.011160978e-35
2763.577015 2.835177221e-08 1.103958471e-35
3007.882518 3.08404757e-08 1.200863359e-35
3273.785096 3.343021565e-08 1.301702394e-35
3563.193971 3.642456273e-08 1.418295981e-35
3878.187146 3.942897418e-08 1.535281454e-35
4221.02632 4.27188491e-08 1.663382274e-35
4594.173135 4.638850497e-08 1.806270968e-35
5000.306842 5.054079259e-08 1.967952328e-35
5442.343548 5.460402424e-08 2.126166035e-35
5923.457146 5.911850181e-08 2.301950312e-35
6447.102107 6.383899793e-08 2.485756518e-35
7017.038287 6.93739613e-08 2.701276368e-35
7637.357916 7.469291542e-08 2.908385271e-35
8312.51499 8.081292363e-08 3.146685539e-35
9047.357242 8.71761111e-08 3.394454696e-35
9847.160958 9.398319675e-08 3.659508317e-35
10717.66885 1.010165217e-07 3.933371221e-35
11665.13132 1.089721611e-07 4.243147113e-35
12696.35128 1.172022432e-07 4.563609225e-35
13818.73306 1.26214548e-07 4.914529448e-35
15040.33554 1.352922689e-07 5.267996838e-35
16369.93002 1.453936207e-07 5.661322263e-35
