# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = CC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = IIM
# generated_by = sigma_nuN (PHASIS/dipole) commit 89bbd23-sujo
# M_W_GeV      = 80.379
# xF3_from     = NNPDF31_nlo_as_0118
# model IIM
# gerado_por sigma_nuN (PHASIS/dipole)
# formalismo Kutak-Kwiecinski EPJ C29 (2003) 521, eqs (2),(8),(9),(12),(13)
# beam nu
# use_F3 1  pdf_set NNPDF31_nlo_as_0118
# Q2min_GeV2 1
# largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s=4]
# bCGC [Rezaeian & Schmidt, PRD 88 (2013) 074016, Tabela II, m_c=1.4]
# bCGC B_CGC 5.5  gamma_s 0.6492  N0 0.3658  x0 0.00069  lambda 0.2023  bMax 20  Nb 80
# massas_GeV  u 0.01  d 0.01  s 0.01  c 1.4
# canais ud, cs
# quadratura_rz  Nr 120  Nz 120  rMin 1e-08  rMax 1000  zMin 1e-11   [ln r; z log nas duas pontas]
# tabela_F  Nx 121  NQ 121  xMin 2.664472562e-15  xMax 1  Q2Min 1  Q2Max 1.968400829e+14
# integracao_sigma  nos_por_decada_Q 16  nos_por_decada_x 16
# Enu_GeV sigma_GeV_minus2 sigma_cm2
1000 8.017973577e-09 3.122030533e-36
1088.401916 8.719967235e-09 3.395372122e-36
1184.618731 9.479977831e-09 3.691304288e-36
1289.341297 1.030256077e-08 4.011600811e-36
1403.321538 1.119230725e-08 4.358049403e-36
1527.37785 1.215413124e-08 4.73256347e-36
1662.400979 1.31931986e-08 5.137154478e-36
1809.360411 1.431497121e-08 5.573949175e-36
1969.311338 1.552559739e-08 6.045341586e-36
2143.402234 1.683084533e-08 6.553577725e-36
2332.883098 1.823732732e-08 7.101232274e-36
2539.114434 1.975190991e-08 7.69097893e-36
2763.577015 2.138137206e-08 8.325457271e-36
3007.882518 2.3133527e-08 9.00770961e-36
3273.785096 2.501595667e-08 9.740688193e-36
3563.193971 2.703675622e-08 1.05275451e-35
3878.187146 2.920438219e-08 1.137157313e-35
4221.02632 3.152734399e-08 1.227608567e-35
4594.173135 3.401545957e-08 1.324490563e-35
5000.306842 3.667768976e-08 1.428152216e-35
5442.343548 3.952382072e-08 1.538974579e-35
5923.457146 4.256391297e-08 1.657349387e-35
6447.102107 4.580906017e-08 1.783708604e-35
7017.038287 4.926935947e-08 1.918445392e-35
7637.357916 5.295677448e-08 2.062025589e-35
8312.51499 5.688251189e-08 2.21488556e-35
9047.357242 6.105840996e-08 2.377486261e-35
9847.160958 6.549707447e-08 2.550318536e-35
10717.66885 7.021100529e-08 2.733869103e-35
11665.13132 7.521401994e-08 2.928675987e-35
12696.35128 8.051919041e-08 3.135248184e-35
13818.73306 8.61408817e-08 3.354145038e-35
15040.33554 9.209346187e-08 3.585926009e-35
16369.93002 9.839162085e-08 3.831163093e-35
17817.0632 1.050520042e-07 4.090504436e-35
19392.12572 1.120893415e-07 4.364523571e-35
21106.42679 1.195209789e-07 4.653895923e-35
22972.27536 1.273644156e-07 4.959302879e-35
25003.06852 1.356368632e-07 5.281414617e-35
27213.38768 1.443577348e-07 5.620987042e-35
29619.1033 1.535451717e-07 5.978726541e-35
32237.48878 1.632187035e-07 6.355393555e-35
35087.34456 1.733994629e-07 6.751810946e-35
38189.13305 1.841083371e-07 7.168792019e-35
41565.12558 1.953674406e-07 7.607197864e-35
45239.56233 2.071983918e-07 8.06787026e-35
49238.82632 2.196256736e-07 8.551762517e-35
53591.63291 2.326717668e-07 9.059749988e-35
58329.23594 2.463629491e-07 9.592855877e-35
63485.65216 2.607243465e-07 1.015205853e-34
69097.90546 2.757809695e-07 1.073833181e-34
75206.2927 2.915607813e-07 1.135276455e-34
81854.67307 3.080907054e-07 1.199640508e-34
89090.78301 3.254001595e-07 1.267039887e-34
96966.57893 3.435176118e-07 1.337585442e-34
105538.6103 3.6247297e-07 1.411393626e-34
114868.4257 3.822960932e-07 1.488580705e-34
125023.0146 4.030189846e-07 1.569271292e-34
136075.2886 4.246736236e-07 1.653589909e-34
148104.6049 4.472913675e-07 1.741658654e-34
161197.3357 4.709066711e-07 1.833611687e-34
175447.4891 4.955535828e-07 1.929581585e-34
190957.3833 5.212651253e-07 2.029696932e-34
207838.3819 5.48077641e-07 2.134099238e-34
226211.693 5.760272888e-07 2.242929297e-34
246209.2401 6.051499325e-07 2.356326756e-34
267974.6087 6.354819338e-07 2.474433199e-34
291664.0776 6.670623115e-07 2.597400558e-34
317447.7409 6.999290257e-07 2.725376641e-34
345510.7295 7.341202937e-07 2.858510258e-34
376054.54 7.696763785e-07 2.996958186e-34
409298.4818 8.066373656e-07 3.140876508e-34
445481.2519 8.450442767e-07 3.290424954e-34
484862.6481 8.84938038e-07 3.445762883e-34
527725.4352 9.26361195e-07 3.607055957e-34
574377.3749 9.693568997e-07 3.774472203e-34
625153.4354 1.013967624e-06 3.948176995e-34
680418.1969 1.060237536e-06 4.128342314e-34
740568.4692 1.108212911e-06 4.315148351e-34
806036.1409 1.157936684e-06 4.50876228e-34
877291.2802 1.209456694e-06 4.709370379e-34
954845.5103 1.262820747e-06 4.917158796e-34
1039255.683 1.318073805e-06 5.1323026e-34
1131127.877 1.375265382e-06 5.35499459e-34
1231121.748 1.434444787e-06 5.585426768e-34
1339955.27 1.49566254e-06 5.823795841e-34
1458409.883 1.558967548e-06 6.070292249e-34
1587336.111 1.62441282e-06 6.325122394e-34
1727659.665 1.692050872e-06 6.588490767e-34
1880388.089 1.761932341e-06 6.860594532e-34
2046617.999 1.834112678e-06 7.141649606e-34
2227542.952 1.908647411e-06 7.431872203e-34
2424462.017 1.98559213e-06 7.731478779e-34
2638789.105 2.065001686e-06 8.040682916e-34
2872063.118 2.146935211e-06 8.359714855e-34
3125959 2.231451618e-06 8.688803995e-34
3402299.766 2.318608608e-06 9.028175012e-34
3703069.584 2.408467098e-06 9.378065101e-34
4030428.031 2.50109035e-06 9.738720593e-34
4386725.591 2.596538431e-06 1.011037538e-33
4774520.539 2.694875249e-06 1.04932783e-33
5196597.302 2.796165741e-06 1.08876822e-33
5655986.461 2.900476905e-06 1.129384797e-33
6155986.501 3.007872167e-06 1.171202257e-33
6700187.504 3.118421011e-06 1.214247655e-33
7292496.917 3.232194346e-06 1.258548602e-33
7937167.617 3.349258005e-06 1.304130733e-33
8638828.443 3.46968552e-06 1.351022678e-33
9402517.43 3.5935492e-06 1.399252594e-33
10233717.99 3.720922877e-06 1.448849229e-33
11138398.26 3.851879155e-06 1.499840854e-33
12123054.01 3.986496024e-06 1.552257835e-33
13194755.22 4.124851037e-06 1.606130372e-33
14361196.86 4.267019557e-06 1.661487808e-33
15630754.18 4.413083643e-06 1.718362096e-33
17012542.8 4.563125066e-06 1.776785075e-33
18516484.18 4.717222203e-06 1.836787264e-33
20153376.86 4.875460724e-06 1.898402021e-33
21934973.99 5.037926959e-06 1.961662961e-33
23874067.72 5.204705617e-06 2.026603069e-33
25984581.05 5.375882891e-06 2.093255904e-33
28281667.8 5.551549051e-06 2.161656618e-33
30781821.43 5.731795859e-06 2.23184094e-33
33502993.42 5.916710809e-06 2.303842938e-33
36464722.23 6.106389122e-06 2.37769969e-33
39688273.55 6.300926446e-06 2.453448439e-33
43196792.97 6.500417116e-06 2.531125916e-33
47015472.24 6.704957077e-06 2.610769482e-33
51171730.07 6.914647558e-06 2.692418551e-33
55695409.06 7.129588797e-06 2.776112156e-33
60618989.93 7.349879735e-06 2.861888821e-33
65977824.8 7.57562532e-06 2.949789411e-33
71810390.93 7.806931792e-06 3.039855294e-33
78158567.08 8.043900905e-06 3.13212609e-33
85067934.16 8.286644068e-06 3.226645181e-33
92588102.54 8.535270089e-06 3.323454932e-33
100773068.2 8.789889597e-06 3.422598422e-33
109681600.5 9.05061382e-06 3.524118959e-33
119377664.2 9.317558221e-06 3.628061503e-33
129930878.4 9.590839304e-06 3.734471417e-33
141417017 9.87057067e-06 3.843392937e-33
153918552.3 1.015687518e-05 3.9548739e-33
167525247.2 1.044987245e-05 4.068960884e-33
182334800.1 1.074968349e-05 4.185701007e-33
198453545.8 1.105643323e-05 4.305142915e-33
215997219.5 1.137024903e-05 4.427336196e-33
235091787.5 1.16912564e-05 4.552329725e-33
255874352 1.20195837e-05 4.680173483e-33
278494135 1.23553645e-05 4.810919475e-33
303113550.2 1.269873227e-05 4.944619673e-33
329909368.8 1.304981723e-05 5.081324782e-33
359073989.1 1.340875974e-05 5.221089458e-33
390816817.8 1.377569892e-05 5.363967871e-33
425365773.3 1.415077209e-05 5.510013485e-33
462968922.7 1.453412244e-05 5.65928206e-33
503896262.5 1.492589561e-05 5.811830308e-33
548441657.6 1.532623702e-05 5.967714846e-33
596924951 1.573529283e-05 6.126992586e-33
649694260.4 1.615321622e-05 6.289723178e-33
707128477.9 1.658015866e-05 6.455965598e-33
769639990.2 1.701627227e-05 6.625779081e-33
837677640.1 1.746171475e-05 6.799225029e-33
911729948.5 1.791664571e-05 6.976365588e-33
992328622.9 1.838122367e-05 7.157262491e-33
1080052375 1.88556119e-05 7.341979305e-33
1175531074 1.933997658e-05 7.53058074e-33
1279450273 1.983448421e-05 7.723131626e-33
1392556129 2.033930144e-05 7.919696853e-33
1515660759 2.085460475e-05 8.120345142e-33
1649648074 2.138056567e-05 8.325143279e-33
1795480125 2.191735834e-05 8.534159071e-33
1954204008 2.246516383e-05 8.747463027e-33
2126959387 2.302416457e-05 8.965126178e-33
2314986672 2.359454063e-05 9.187218635e-33
2519635929 2.417647871e-05 9.413813103e-33
2742376573 2.477016952e-05 9.644983839e-33
2984807917 2.537580261e-05 9.880804643e-33
3248670656 2.599356775e-05 1.012134942e-32
3535859367 2.66236661e-05 1.036669648e-32
3848436109 2.726629514e-05 1.061692273e-32
4188645235 2.792165268e-05 1.08721052e-32
4558929500 2.858994481e-05 1.113232412e-32
4961947603 2.927137982e-05 1.13976606e-32
5400593279 2.996616378e-05 1.166819489e-32
5878016072 3.067450932e-05 1.194400977e-32
6397643956 3.139663239e-05 1.222518932e-32
6963207940 3.213275095e-05 1.251181843e-32
7578768864 3.288308085e-05 1.280398114e-32
8248746553 3.364785039e-05 1.310176634e-32
8977951553 3.442728474e-05 1.34052617e-32
9771619673 3.522160992e-05 1.371455525e-32
1.063544957e+10 3.603106006e-05 1.402973813e-32
1.15756437e+10 3.685587166e-05 1.435090245e-32
1.259895278e+10 3.769628163e-05 1.467814044e-32
1.371272434e+10 3.855252598e-05 1.501154401e-32
1.492495545e+10 3.94248563e-05 1.535121112e-32
1.624435011e+10 4.031351866e-05 1.569723758e-32
1.768038178e+10 4.12187572e-05 1.604971846e-32
1.924336141e+10 4.214083286e-05 1.640875536e-32
2.094451143e+10 4.308000032e-05 1.677444745e-32
2.279604637e+10 4.403651729e-05 1.714689506e-32
2.481126055e+10 4.501064834e-05 1.752620124e-32
2.700462352e+10 4.60026631e-05 1.791247096e-32
2.939188399e+10 4.701283009e-05 1.830580877e-32
3.199018285e+10 4.804141746e-05 1.870631909e-32
3.481817631e+10 4.908870969e-05 1.911411269e-32
3.789616981e+10 5.015498668e-05 1.952929856e-32
4.124626383e+10 5.124052556e-05 1.99519846e-32
4.489251258e+10 5.234562059e-05 2.03822854e-32
4.886109671e+10 5.347056187e-05 2.082031391e-32
5.318051128e+10 5.461564425e-05 2.126618494e-32
5.788177038e+10 5.578115866e-05 2.172001178e-32
6.299862978e+10 5.696741848e-05 2.218191644e-32
6.856782937e+10 5.817472589e-05 2.265201659e-32
7.462935686e+10 5.940338445e-05 2.313043043e-32
8.1226735e+10 6.06537154e-05 2.361728305e-32
8.840733402e+10 6.192603582e-05 2.41126979e-32
9.622271174e+10 6.322066059e-05 2.46167976e-32
1.047289838e+11 6.453792094e-05 2.512971112e-32
1.139872267e+11 6.587814597e-05 2.56515666e-32
1.240639159e+11 6.724166915e-05 2.618249389e-32
