# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = NC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = GBW
# generated_by = sigma_nuN (PHASIS/dipole) commit 1474a9b-sujo
# M_W_GeV      = 80.379
# xF3_from     = NNPDF31_nlo_as_0118
# model GBW
# gerado_por sigma_nuN (PHASIS/dipole)
# formalismo Kutak-Kwiecinski EPJ C29 (2003) 521, eqs (2),(8),(9),(12),(13)
# beam nu
# use_F3 1  pdf_set NNPDF31_nlo_as_0118
# Q2min_GeV2 1
# largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s=4]
# GBW [Golec-Biernat & Wusthoff, PRD 59 (1999) 014017; ajuste de 4 sabores]
# GBW sigma0_mb 29.12  lambda 0.277  x0 4.1e-05  Q0sq 1
# massas_GeV  u 0.14  d 0.14  s 0.14  c 1.5
# canais uu, dd, ss, cc
# quadratura_rz  Nr 120  Nz 120  rMin 1e-08  rMax 1000  zMin 1e-11   [ln r; z log nas duas pontas]
# tabela_F  Nx 121  NQ 121  xMin 2.664472562e-15  xMax 1  Q2Min 1  Q2Max 1.968400829e+14
# integracao_sigma  nos_por_decada_Q 16  nos_por_decada_x 16
# Enu_GeV sigma_GeV_minus2 sigma_cm2
1000 2.927335986e-09 1.139843159e-36
1088.401916 3.205436914e-09 1.24812982e-36
1184.618731 3.509016452e-09 1.366337317e-36
1289.341297 3.840266214e-09 1.495319018e-36
1403.321538 4.201564876e-09 1.63600113e-36
1527.37785 4.595459728e-09 1.789375514e-36
1662.400979 5.024683914e-09 1.956506398e-36
1809.360411 5.492163672e-09 2.138533198e-36
1969.311338 6.001067192e-09 2.336689542e-36
2143.402234 6.554747486e-09 2.552281021e-36
2332.883098 7.156792754e-09 2.786704806e-36
2539.114434 7.811054677e-09 3.041460659e-36
2763.577015 8.52161055e-09 3.318136194e-36
3007.882518 9.29279092e-09 3.618417636e-36
3273.785096 1.012922361e-08 3.944106958e-36
3563.193971 1.103578362e-08 4.297102392e-36
3878.187146 1.201762889e-08 4.679412321e-36
4221.02632 1.308019583e-08 5.093153574e-36
4594.173135 1.422926402e-08 5.540576594e-36
5000.306842 1.547085243e-08 6.024025049e-36
5442.343548 1.681128573e-08 6.545961625e-36
5923.457146 1.825724927e-08 7.108989463e-36
6447.102107 1.981566719e-08 7.715804675e-36
7017.038287 2.149378703e-08 8.369229298e-36
7637.357916 2.329915713e-08 9.072202506e-36
8312.51499 2.523966243e-08 9.827794516e-36
9047.357242 2.732343116e-08 1.06391703e-35
9847.160958 2.95588948e-08 1.15096129e-35
10717.66885 3.195482652e-08 1.24425384e-35
11665.13132 3.452019713e-08 1.344143984e-35
12696.35128 3.726427301e-08 1.450992536e-35
13818.73306 4.019665164e-08 1.565173202e-35
15040.33554 4.332708585e-08 1.687065736e-35
16369.93002 4.666561527e-08 1.817061061e-35
17817.0632 5.022250344e-08 1.955558817e-35
19392.12572 5.40082613e-08 2.102968278e-35
21106.42679 5.803355241e-08 2.25970466e-35
22972.27536 6.230925149e-08 2.426191404e-35
25003.06852 6.684648068e-08 2.60286158e-35
27213.38768 7.165642856e-08 2.79015085e-35
29619.1033 7.675048335e-08 2.988502646e-35
32237.48878 8.214018386e-08 3.198366265e-35
35087.34456 8.78371867e-08 3.420195592e-35
38189.13305 9.385323945e-08 3.654448052e-35
41565.12558 1.002002229e-07 3.90158626e-35
45239.56233 1.068901035e-07 4.162076161e-35
49238.82632 1.139348807e-07 4.436384993e-35
53591.63291 1.213466472e-07 4.724983616e-35
58329.23594 1.291375922e-07 5.028346652e-35
63485.65216 1.373198387e-07 5.346946147e-35
69097.90546 1.459056091e-07 5.681258015e-35
75206.2927 1.549071601e-07 6.031759508e-35
81854.67307 1.643367118e-07 6.398926451e-35
89090.78301 1.742064975e-07 6.783235179e-35
96966.57893 1.845288003e-07 7.185163972e-35
105538.6103 1.953158314e-07 7.60518831e-35
114868.4257 2.065797908e-07 8.043783234e-35
125023.0146 2.183328995e-07 8.501424606e-35
136075.2886 2.30587384e-07 8.978588498e-35
148104.6049 2.433553256e-07 9.475745334e-35
161197.3357 2.566488899e-07 9.99336881e-35
175447.4891 2.704802535e-07 1.053193306e-34
190957.3833 2.848614274e-07 1.109190578e-34
207838.3819 2.998045063e-07 1.167375789e-34
226211.693 3.153216325e-07 1.227796219e-34
246209.2401 3.314247763e-07 1.29049848e-34
267974.6087 3.481259947e-07 1.355529517e-34
291664.0776 3.654373747e-07 1.422936395e-34
317447.7409 3.83371056e-07 1.492766384e-34
345510.7295 4.019389714e-07 1.565065947e-34
376054.54 4.211533107e-07 1.63988255e-34
409298.4818 4.410263271e-07 1.717263902e-34
445481.2519 4.615700577e-07 1.797256875e-34
484862.6481 4.827968296e-07 1.879909467e-34
527725.4352 5.047190268e-07 1.965269899e-34
574377.3749 5.273491243e-07 2.053386747e-34
625153.4354 5.506994727e-07 2.1443081e-34
680418.1969 5.747828252e-07 2.238083617e-34
740568.4692 5.996120446e-07 2.334763383e-34
806036.1409 6.251998056e-07 2.434396751e-34
877291.2802 6.515592825e-07 2.537035019e-34
954845.5103 6.787038521e-07 2.642730272e-34
1039255.683 7.066466683e-07 2.75153373e-34
1131127.877 7.354014481e-07 2.863498804e-34
1231121.748 7.649820821e-07 2.978679581e-34
1339955.27 7.954027144e-07 3.097131135e-34
1458409.883 8.266773812e-07 3.21890812e-34
1587336.111 8.588208249e-07 3.34406794e-34
1727659.665 8.918480439e-07 3.472668995e-34
1880388.089 9.257738254e-07 3.604768864e-34
2046617.999 9.606137903e-07 3.740428371e-34
2227542.952 9.963837754e-07 3.879709181e-34
2424462.017 1.033099921e-06 4.022674143e-34
2638789.105 1.070778411e-06 4.169386269e-34
2872063.118 1.10943629e-06 4.319911932e-34
3125959 1.149090885e-06 4.474318596e-34
3402299.766 1.189759398e-06 4.632673245e-34
3703069.584 1.231460089e-06 4.795046981e-34
4030428.031 1.274211605e-06 4.961512407e-34
4386725.591 1.31803232e-06 5.132141067e-34
4774520.539 1.362941811e-06 5.307009196e-34
5196597.302 1.408959949e-06 5.486194161e-34
5655986.461 1.456107076e-06 5.66977517e-34
6155986.501 1.504403557e-06 5.857831525e-34
6700187.504 1.553870962e-06 6.050447214e-34
7292496.917 1.604531268e-06 6.247707804e-34
7937167.617 1.656406235e-06 6.449698034e-34
8638828.443 1.709519068e-06 6.65650825e-34
9402517.43 1.763893263e-06 6.868229948e-34
10233717.99 1.81955283e-06 7.084956613e-34
11138398.26 1.876521997e-06 7.306782588e-34
12123054.01 1.93482628e-06 7.533807223e-34
13194755.22 1.994491614e-06 7.766131503e-34
14361196.86 2.055543834e-06 8.003856024e-34
15630754.18 2.118010407e-06 8.247087743e-34
17012542.8 2.181919331e-06 8.495935673e-34
18516484.18 2.247298189e-06 8.750507214e-34
20153376.86 2.314176485e-06 9.010917254e-34
21934973.99 2.382584056e-06 9.277281972e-34
23874067.72 2.452551412e-06 9.549720164e-34
25984581.05 2.52410917e-06 9.828351045e-34
28281667.8 2.597289688e-06 1.011330061e-33
30781821.43 2.672125847e-06 1.04046969e-33
33502993.42 2.748650214e-06 1.070266672e-33
36464722.23 2.826897524e-06 1.100734531e-33
39688273.55 2.906902817e-06 1.131886912e-33
43196792.97 2.988701839e-06 1.163737733e-33
47015472.24 3.072330727e-06 1.196301066e-33
51171730.07 3.157827384e-06 1.229591669e-33
55695409.06 3.245230251e-06 1.26362451e-33
60618989.93 3.334577646e-06 1.298414509e-33
65977824.8 3.425910226e-06 1.333977498e-33
71810390.93 3.519269306e-06 1.370329563e-33
78158567.08 3.614695541e-06 1.407486535e-33
85067934.16 3.712232446e-06 1.445465358e-33
92588102.54 3.81192385e-06 1.484283097e-33
100773068.2 3.913814509e-06 1.52395718e-33
109681600.5 4.017949344e-06 1.564505097e-33
119377664.2 4.124375711e-06 1.60594529e-33
129930878.4 4.233141638e-06 1.648296458e-33
141417017 4.344294642e-06 1.691577103e-33
153918552.3 4.457885396e-06 1.735806957e-33
167525247.2 4.57396486e-06 1.781005863e-33
182334800.1 4.692584974e-06 1.827194045e-33
198453545.8 4.813798231e-06 1.874391941e-33
215997219.5 4.937659573e-06 1.922620947e-33
235091787.5 5.064224648e-06 1.971902729e-33
255874352 5.193548871e-06 2.022258866e-33
278494135 5.32569102e-06 2.073712244e-33
303113550.2 5.460710709e-06 2.126286075e-33
329909368.8 5.598666467e-06 2.18000315e-33
359073989.1 5.739621067e-06 2.234887911e-33
390816817.8 5.883637523e-06 2.290964895e-33
425365773.3 6.030780161e-06 2.348259148e-33
462968922.7 6.181113481e-06 2.406795786e-33
503896262.5 6.334705455e-06 2.466601275e-33
548441657.6 6.491624931e-06 2.527702424e-33
596924951 6.651939896e-06 2.590125705e-33
649694260.4 6.81572296e-06 2.65389939e-33
707128477.9 6.983046965e-06 2.719051844e-33
769639990.2 7.153986142e-06 2.78561197e-33
837677640.1 7.328615427e-06 2.853608947e-33
911729948.5 7.50701325e-06 2.923073312e-33
992328622.9 7.689258985e-06 2.994035974e-33
1080052375 7.875431519e-06 3.06652765e-33
1175531074 8.065614649e-06 3.140580966e-33
1279450273 8.259893271e-06 3.216228982e-33
1392556129 8.458350453e-06 3.293504041e-33
1515660759 8.661075608e-06 3.372440959e-33
1649648074 8.868158241e-06 3.453074588e-33
1795480125 9.079689739e-06 3.535440511e-33
1954204008 9.295761554e-06 3.619574338e-33
2126959387 9.516470207e-06 3.705513653e-33
2314986672 9.741913385e-06 3.793296492e-33
2519635929 9.972187249e-06 3.882960299e-33
2742376573 1.020739484e-05 3.974545194e-33
2984807917 1.044763926e-05 4.068091329e-33
3248670656 1.069302564e-05 4.163639633e-33
3535859367 1.094365989e-05 4.261231344e-33
3848436109 1.1199653e-05 4.360909687e-33
4188645235 1.146111727e-05 4.462718382e-33
4558929500 1.172816395e-05 4.566700752e-33
4961947603 1.200091158e-05 4.672902951e-33
5400593279 1.227948016e-05 4.781371705e-33
5878016072 1.256398655e-05 4.892152519e-33
6397643956 1.285455721e-05 5.005294631e-33
6963207940 1.315131833e-05 5.120847181e-33
7578768864 1.345439886e-05 5.238860373e-33
8248746553 1.376392744e-05 5.359384301e-33
8977951553 1.408004024e-05 5.482471991e-33
9771619673 1.440287501e-05 5.608177068e-33
1.063544957e+10 1.473256671e-05 5.736552093e-33
1.15756437e+10 1.506926068e-05 5.867653655e-33
1.259895278e+10 1.541310198e-05 6.001538236e-33
1.371272434e+10 1.576423854e-05 6.138263438e-33
1.492495545e+10 1.612281902e-05 6.277887146e-33
1.624435011e+10 1.648899966e-05 6.420470197e-33
1.768038178e+10 1.686293837e-05 6.566074079e-33
1.924336141e+10 1.724479103e-05 6.714759485e-33
2.094451143e+10 1.763472442e-05 6.866591358e-33
2.279604637e+10 1.80329072e-05 7.021635371e-33
2.481126055e+10 1.843950274e-05 7.179955136e-33
2.700462352e+10 1.885468892e-05 7.341619918e-33
2.939188399e+10 1.927864272e-05 7.506698623e-33
3.199018285e+10 1.971154503e-05 7.675261691e-33
3.481817631e+10 2.015357576e-05 7.847379178e-33
3.789616981e+10 2.060492607e-05 8.023125507e-33
4.124626383e+10 2.106578908e-05 8.202575886e-33
4.489251258e+10 2.153635315e-05 8.385803655e-33
4.886109671e+10 2.201682225e-05 8.572888232e-33
5.318051128e+10 2.250739936e-05 8.763908657e-33
5.788177038e+10 2.300829151e-05 8.958945539e-33
6.299862978e+10 2.351970628e-05 9.158079712e-33
6.856782937e+10 2.404186245e-05 9.36139636e-33
7.462935686e+10 2.457498092e-05 9.568981495e-33
8.1226735e+10 2.511927888e-05 9.78091969e-33
8.840733402e+10 2.567498982e-05 9.99730186e-33
9.622271174e+10 2.624234959e-05 1.021821984e-32
1.047289838e+11 2.682158526e-05 1.044376205e-32
1.139872267e+11 2.741294586e-05 1.067402545e-32
1.240639159e+11 2.801667826e-05 1.090910616e-32
1.350314038e+11 2.863303487e-05 1.114910248e-32
1.469684386e+11 2.926226605e-05 1.139411189e-32
1.599607302e+11 2.990463871e-05 1.164423832e-32
1.741015652e+11 3.056042224e-05 1.189958665e-32
1.894924772e+11 3.122987813e-05 1.216025872e-32
2.062439753e+11 3.191329115e-05 1.24263654e-32
2.244763378e+11 3.26109439e-05 1.269801672e-32
2.443204762e+11 3.332312443e-05 1.297532487e-32
2.659188745e+11 3.405012129e-05 1.325840218e-32
2.894266125e+11 3.47922392e-05 1.354736731e-32
3.150124796e+11 3.55497854e-05 1.384233989e-32
3.428601864e+11 3.632306108e-05 1.41434372e-32
3.731696838e+11 3.71123914e-05 1.445078585e-32
4.061585988e+11 3.791810431e-05 1.476451354e-32
4.420637972e+11 3.874051384e-05 1.508474254e-32
4.811430839e+11 3.957996679e-05 1.541160789e-32
5.236770544e+11 4.043680574e-05 1.574524298e-32
5.699711094e+11 4.131138076e-05 1.608578413e-32
6.203576476e+11 4.220403869e-05 1.643336638e-32
6.751984523e+11 4.31151502e-05 1.678813407e-32
7.348872892e+11 4.404508877e-05 1.715023262e-32
7.998527337e+11 4.499421573e-05 1.751980273e-32
8.705612479e+11 4.596292654e-05 1.789699837e-32
9.475205303e+11 4.695161244e-05 1.82819719e-32
1.031283161e+12 4.796067173e-05 1.86748784e-32
1.122450568e+12 4.899050381e-05 1.907587338e-32
1.221677349e+12 5.004153064e-05 1.948512116e-32
1.329675967e+12 5.111417686e-05 1.990278707e-32
1.447221871e+12 5.220885834e-05 2.032903305e-32
1.575159057e+12 5.332602523e-05 2.076403438e-32
1.714406136e+12 5.446613071e-05 2.120796751e-32
1.865962923e+12 5.562960711e-05 2.166100079e-32
2.030917621e+12 5.681693453e-05 2.212332115e-32
2.21045463e+12 5.802858575e-05 2.259511269e-32
2.405863055e+12 5.926504295e-05 2.307656316e-32
2.618545958e+12 6.052678479e-05 2.356785893e-32
2.850030439e+12 6.181432284e-05 2.406919921e-32
3.10197859e+12 6.31281714e-05 2.458078425e-32
3.376199441e+12 6.446882767e-05 2.510280765e-32
3.674661941e+12 6.583683738e-05 2.56354819e-32
3.999509097e+12 6.723273788e-05 2.617901624e-32
4.353073365e+12 6.86570796e-05 2.6733625e-32
4.737893391e+12 7.01104098e-05 2.729952126e-32
5.156732245e+12 7.159331007e-05 2.787693148e-32
