# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = NC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = IIM
# generated_by = sigma_nuN (PHASIS/dipole) commit 1474a9b-sujo
# M_W_GeV      = 80.379
# xF3_from     = NNPDF31_nlo_as_0118
# model IIM
# gerado_por sigma_nuN (PHASIS/dipole)
# formalismo Kutak-Kwiecinski EPJ C29 (2003) 521, eqs (2),(8),(9),(12),(13)
# beam nu
# use_F3 1  pdf_set NNPDF31_nlo_as_0118
# Q2min_GeV2 1
# largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s=4]
# bCGC [Rezaeian & Schmidt, PRD 88 (2013) 074016, Tabela II, m_c=1.4]
# bCGC B_CGC 5.5  gamma_s 0.6492  N0 0.3658  x0 0.00069  lambda 0.2023  bMax 20  Nb 80
# massas_GeV  u 0.01  d 0.01  s 0.01  c 1.4
# canais uu, dd, ss, cc
# quadratura_rz  Nr 120  Nz 120  rMin 1e-08  rMax 1000  zMin 1e-11   [ln r; z log nas duas pontas]
# tabela_F  Nx 121  NQ 121  xMin 2.664472562e-15  xMax 1  Q2Min 1  Q2Max 1.968400829e+14
# integracao_sigma  nos_por_decada_Q 16  nos_por_decada_x 16
# Enu_GeV sigma_GeV_minus2 sigma_cm2
1000 2.391566824e-09 9.312258985e-37
1088.401916 2.605041935e-09 1.014348624e-36
1184.618731 2.836652812e-09 1.104533035e-36
1289.341297 3.08790657e-09 1.202365972e-36
1403.321538 3.3603049e-09 1.308432162e-36
1527.37785 3.655487211e-09 1.423369955e-36
1662.400979 3.975183876e-09 1.547853122e-36
1809.360411 4.321237752e-09 1.682599235e-36
1969.311338 4.695734938e-09 1.828420574e-36
2143.402234 5.100648998e-09 1.986085606e-36
2332.883098 5.53826684e-09 2.156484804e-36
2539.114434 6.010967035e-09 2.340544333e-36
2763.577015 6.521127479e-09 2.539190097e-36
3007.882518 7.071518309e-09 2.753500728e-36
3273.785096 7.664832552e-09 2.984524834e-36
3563.193971 8.303987082e-09 3.233398186e-36
3878.187146 8.99204519e-09 3.501313564e-36
4221.02632 9.732123065e-09 3.789484347e-36
4594.173135 1.052782581e-08 4.099314287e-36
5000.306842 1.13825008e-08 4.432106779e-36
5442.343548 1.229981356e-08 4.789289105e-36
5923.457146 1.328355685e-08 5.172338082e-36
6447.102107 1.433795553e-08 5.582898786e-36
7017.038287 1.546687953e-08 6.022478084e-36
7637.357916 1.667493813e-08 6.492870733e-36
8312.51499 1.796648139e-08 6.995770558e-36
9047.357242 1.934613507e-08 7.532978726e-36
9847.160958 2.081885211e-08 8.106423818e-36
10717.66885 2.238953569e-08 8.718015019e-36
11665.13132 2.406366448e-08 9.369885612e-36
12696.35128 2.584643695e-08 1.006405977e-35
13818.73306 2.774355902e-08 1.080275927e-35
15040.33554 2.976076775e-08 1.158821798e-35
16369.93002 3.190394991e-08 1.242272811e-35
17817.0632 3.417976726e-08 1.33088836e-35
19392.12572 3.659411186e-08 1.424897868e-35
21106.42679 3.915395833e-08 1.524572914e-35
22972.27536 4.186634132e-08 1.630187412e-35
25003.06852 4.473814642e-08 1.742009471e-35
27213.38768 4.777718582e-08 1.860343284e-35
29619.1033 5.099074896e-08 1.985472684e-35
32237.48878 5.43866827e-08 2.117703212e-35
35087.34456 5.79734633e-08 2.257364917e-35
38189.13305 6.175950381e-08 2.404785383e-35
41565.12558 6.575368656e-08 2.560310472e-35
45239.56233 6.996467587e-08 2.724277552e-35
49238.82632 7.440235061e-08 2.897071288e-35
53591.63291 7.907572973e-08 3.079042857e-35
58329.23594 8.399540438e-08 3.270604656e-35
63485.65216 8.917150971e-08 3.472151328e-35
69097.90546 9.461410515e-08 3.684074565e-35
75206.2927 1.003344818e-07 3.906814021e-35
81854.67307 1.063435229e-07 4.140793461e-35
89090.78301 1.12653153e-07 4.386477207e-35
96966.57893 1.192749047e-07 4.644314311e-35
105538.6103 1.262208805e-07 4.914776025e-35
114868.4257 1.335032389e-07 5.198335766e-35
125023.0146 1.41135016e-07 5.49550114e-35
136075.2886 1.491291976e-07 5.806777782e-35
148104.6049 1.574986357e-07 6.132666125e-35
161197.3357 1.662574377e-07 6.473715483e-35
175447.4891 1.754195037e-07 6.830467094e-35
190957.3833 1.849983824e-07 7.203448515e-35
207838.3819 1.950090347e-07 7.593242292e-35
226211.693 2.054663158e-07 8.000426859e-35
246209.2401 2.163850187e-07 8.425578219e-35
267974.6087 2.277801587e-07 8.869281042e-35
291664.0776 2.396678442e-07 9.33216255e-35
317447.7409 2.520637748e-07 9.814834056e-35
345510.7295 2.649837579e-07 1.031791107e-34
376054.54 2.784445264e-07 1.084204512e-34
409298.4818 2.92462671e-07 1.138788224e-34
445481.2519 3.070552964e-07 1.195608842e-34
484862.6481 3.222393947e-07 1.254732533e-34
527725.4352 3.38032682e-07 1.316228277e-34
574377.3749 3.544529988e-07 1.380165542e-34
625153.4354 3.71518197e-07 1.44661384e-34
680418.1969 3.89246639e-07 1.51564467e-34
740568.4692 4.07657591e-07 1.587333051e-34
806036.1409 4.26768995e-07 1.661748845e-34
877291.2802 4.466008285e-07 1.73896984e-34
954845.5103 4.671729957e-07 1.819073539e-34
1039255.683 4.885043476e-07 1.902133344e-34
1131127.877 5.106155408e-07 1.988229687e-34
1231121.748 5.335271717e-07 2.077442766e-34
1339955.27 5.572602825e-07 2.169854515e-34
1458409.883 5.818354609e-07 2.265545099e-34
1587336.111 6.072748263e-07 2.364600646e-34
1727659.665 6.336002363e-07 2.467106264e-34
1880388.089 6.608329947e-07 2.573144906e-34
2046617.999 6.889962513e-07 2.682806713e-34
2227542.952 7.181132157e-07 2.796182058e-34
2424462.017 7.482071023e-07 2.913361333e-34
2638789.105 7.793009841e-07 3.034434379e-34
2872063.118 8.114195679e-07 3.159497399e-34
3125959 8.445873997e-07 3.288645971e-34
3402299.766 8.788288155e-07 3.421974853e-34
3703069.584 9.141692657e-07 3.559583145e-34
4030428.031 9.506351353e-07 3.701573584e-34
4386725.591 9.882517472e-07 3.848044771e-34
4774520.539 1.027045846e-06 3.999100845e-34
5196597.302 1.067044616e-06 4.154847654e-34
5655986.461 1.108276055e-06 4.315394221e-34
6155986.501 1.150766942e-06 4.480844811e-34
6700187.504 1.194546363e-06 4.651312681e-34
7292496.917 1.239643952e-06 4.826913226e-34
7937167.617 1.286087541e-06 5.007754806e-34
8638828.443 1.333907922e-06 5.193957326e-34
9402517.43 1.383135502e-06 5.385639187e-34
10233717.99 1.433801103e-06 5.582920395e-34
11138398.26 1.485935578e-06 5.785921096e-34
12123054.01 1.539571561e-06 5.994768349e-34
13194755.22 1.594741545e-06 6.209588682e-34
14361196.86 1.651477577e-06 6.430506876e-34
15630754.18 1.709814036e-06 6.657656796e-34
17012542.8 1.769785236e-06 6.891172055e-34
18516484.18 1.831424543e-06 7.131182572e-34
20153376.86 1.894767931e-06 7.377828423e-34
