# profile_file data/benchmark_02_collapsar_disk_funnel.dat
# sigma_table data/sigma_nuN_CC_GBW.dat
# Enu_GeV 1e+12
# sigma_cm2_interpolated 1.64167e-30
# r_cm rho_gcm3 tau survival
1e+06 7.09231e+10 4.67151e+10 0
1.00385e+06 7.02456e+10 4.64464e+10 0
1.00771e+06 6.95746e+10 4.61796e+10 0
1.01158e+06 6.891e+10 4.59147e+10 0
1.01547e+06 6.82517e+10 4.56509e+10 0
1.01938e+06 6.75997e+10 4.53884e+10 0
1.0233e+06 6.69539e+10 4.51276e+10 0
1.02724e+06 6.63144e+10 4.48681e+10 0
1.03119e+06 6.56809e+10 4.46104e+10 0
1.03515e+06 6.50534e+10 4.43545e+10 0
1.03914e+06 6.4432e+10 4.40991e+10 0
1.04313e+06 6.38165e+10 4.38461e+10 0
1.04714e+06 6.32069e+10 4.35943e+10 0
1.05117e+06 6.26031e+10 4.33437e+10 0
1.05522e+06 6.20051e+10 4.30942e+10 0
1.05927e+06 6.14127e+10 4.28472e+10 0
1.06335e+06 6.08261e+10 4.26006e+10 0
1.06744e+06 6.0245e+10 4.23558e+10 0
1.07154e+06 5.96695e+10 4.21128e+10 0
1.07567e+06 5.90995e+10 4.18703e+10 0
1.0798e+06 5.85349e+10 4.16302e+10 0
1.08396e+06 5.79758e+10 4.13906e+10 0
1.08813e+06 5.74219e+10 4.11527e+10 0
1.09231e+06 5.68734e+10 4.09166e+10 0
1.09651e+06 5.63301e+10 4.06815e+10 0
1.10073e+06 5.5792e+10 4.04477e+10 0
1.10496e+06 5.5259e+10 4.02155e+10 0
1.10921e+06 5.47311e+10 3.99844e+10 0
1.11348e+06 5.42083e+10 3.97544e+10 0
1.11776e+06 5.36905e+10 3.95262e+10 0
1.12206e+06 5.31776e+10 3.9299e+10 0
1.12638e+06 5.26696e+10 3.9073e+10 0
1.13071e+06 5.21664e+10 3.88486e+10 0
1.13506e+06 5.16681e+10 3.86253e+10 0
1.13942e+06 5.11745e+10 3.84037e+10 0
1.14381e+06 5.06857e+10 3.81826e+10 0
1.14821e+06 5.02015e+10 3.79632e+10 0
1.15262e+06 4.97219e+10 3.77454e+10 0
1.15706e+06 4.92469e+10 3.75281e+10 0
1.16151e+06 4.87765e+10 3.73125e+10 0
1.16597e+06 4.83105e+10 3.70985e+10 0
1.17046e+06 4.7849e+10 3.68851e+10 0
1.17496e+06 4.73919e+10 3.66732e+10 0
1.17948e+06 4.69392e+10 3.64624e+10 0
1.18402e+06 4.64908e+10 3.62528e+10 0
1.18857e+06 4.60467e+10 3.60446e+10 0
1.19314e+06 4.56068e+10 3.58376e+10 0
1.19773e+06 4.51711e+10 3.56316e+10 0
1.20234e+06 4.47396e+10 3.54267e+10 0
1.20696e+06 4.43122e+10 3.52233e+10 0
1.21161e+06 4.38889e+10 3.50206e+10 0
1.21627e+06 4.34696e+10 3.48194e+10 0
1.22094e+06 4.30543e+10 3.46196e+10 0
1.22564e+06 4.2643e+10 3.44205e+10 0
1.23035e+06 4.22357e+10 3.42229e+10 0
1.23509e+06 4.18322e+10 3.40259e+10 0
1.23984e+06 4.14326e+10 3.38304e+10 0
1.24461e+06 4.10368e+10 3.3636e+10 0
1.24939e+06 4.06448e+10 3.3443e+10 0
1.2542e+06 4.02565e+10 3.32506e+10 0
1.25902e+06 3.98719e+10 3.30597e+10 0
1.26386e+06 3.9491e+10 3.28698e+10 0
1.26873e+06 3.91138e+10 3.26806e+10 0
1.27361e+06 3.87401e+10 3.24928e+10 0
1.2785e+06 3.837e+10 3.23064e+10 0
1.28342e+06 3.80035e+10 3.21207e+10 0
1.28836e+06 3.76404e+10 3.1936e+10 0
1.29331e+06 3.72808e+10 3.17526e+10 0
1.29829e+06 3.69247e+10 3.157e+10 0
1.30328e+06 3.65719e+10 3.13887e+10 0
1.30829e+06 3.62226e+10 3.12084e+10 0
1.31333e+06 3.58765e+10 3.10288e+10 0
1.31838e+06 3.55338e+10 3.08505e+10 0
1.32345e+06 3.51944e+10 3.06732e+10 0
1.32854e+06 3.48581e+10 3.0497e+10 0
1.33365e+06 3.45251e+10 3.03217e+10 0
1.33878e+06 3.41953e+10 3.01475e+10 0
1.34393e+06 3.38686e+10 2.99742e+10 0
1.3491e+06 3.35451e+10 2.98019e+10 0
1.35429e+06 3.32246e+10 2.96306e+10 0
1.3595e+06 3.29072e+10 2.94603e+10 0
1.36472e+06 3.25929e+10 2.92913e+10 0
1.36997e+06 3.22815e+10 2.91229e+10 0
1.37524e+06 3.19731e+10 2.89555e+10 0
1.38053e+06 3.16677e+10 2.87891e+10 0
1.38584e+06 3.13651e+10 2.86237e+10 0
1.39117e+06 3.10655e+10 2.84592e+10 0
1.39652e+06 3.07687e+10 2.82957e+10 0
1.4019e+06 3.04748e+10 2.81328e+10 0
1.40729e+06 3.01837e+10 2.79712e+10 0
1.4127e+06 2.98953e+10 2.78105e+10 0
1.41813e+06 2.96097e+10 2.76508e+10 0
1.42359e+06 2.93268e+10 2.74917e+10 0
1.42906e+06 2.90467e+10 2.73339e+10 0
1.43456e+06 2.87692e+10 2.71767e+10 0
1.44008e+06 2.84944e+10 2.70204e+10 0
1.44562e+06 2.82221e+10 2.68651e+10 0
1.45118e+06 2.79525e+10 2.67107e+10 0
1.45676e+06 2.76855e+10 2.65573e+10 0
1.46236e+06 2.7421e+10 2.64047e+10 0
1.46799e+06 2.7159e+10 2.62528e+10 0
1.47363e+06 2.68996e+10 2.61021e+10 0
1.4793e+06 2.66426e+10 2.5952e+10 0
1.48499e+06 2.63881e+10 2.58029e+10 0
1.4907e+06 2.6136e+10 2.56546e+10 0
1.49644e+06 2.58863e+10 2.5507e+10 0
1.50219e+06 2.5639e+10 2.53606e+10 0
1.50797e+06 2.53941e+10 2.52148e+10 0
1.51377e+06 2.51515e+10 2.50698e+10 0
1.51959e+06 2.49112e+10 2.49258e+10 0
1.52544e+06 2.46732e+10 2.47824e+10 0
1.5313e+06 2.44375e+10 2.46402e+10 0
1.53719e+06 2.4204e+10 2.44986e+10 0
1.54311e+06 2.39728e+10 2.43576e+10 0
