# profile_file data/collapsar_profile.dat
# sigma_table data/sigma_nuN_CC_IIM.dat
# Enu_GeV 1e+12
# sigma_cm2_interpolated 4.00898e-31
# r_cm rho_gcm3 tau survival
1e+06 1.003e+12 1.21037e+11 0
1.00385e+06 9.91518e+11 1.2011e+11 0
1.00771e+06 9.80163e+11 1.19192e+11 0
1.01158e+06 9.68938e+11 1.18281e+11 0
1.01547e+06 9.57842e+11 1.17376e+11 0
1.01938e+06 9.46873e+11 1.16477e+11 0
1.0233e+06 9.36029e+11 1.15586e+11 0
1.02724e+06 9.2531e+11 1.14701e+11 0
1.03119e+06 9.14713e+11 1.13824e+11 0
1.03515e+06 9.04238e+11 1.12954e+11 0
1.03914e+06 8.93883e+11 1.12088e+11 0
1.04313e+06 8.83646e+11 1.11232e+11 0
1.04714e+06 8.73526e+11 1.10382e+11 0
1.05117e+06 8.63523e+11 1.09536e+11 0
1.05522e+06 8.53634e+11 1.08697e+11 0
1.05927e+06 8.43858e+11 1.07867e+11 0
1.06335e+06 8.34194e+11 1.07041e+11 0
1.06744e+06 8.24641e+11 1.06222e+11 0
1.07154e+06 8.15197e+11 1.0541e+11 0
1.07567e+06 8.05861e+11 1.04602e+11 0
1.0798e+06 7.96632e+11 1.03803e+11 0
1.08396e+06 7.87509e+11 1.03007e+11 0
1.08813e+06 7.78491e+11 1.02219e+11 0
1.09231e+06 7.69575e+11 1.01438e+11 0
1.09651e+06 7.60762e+11 1.00662e+11 0
1.10073e+06 7.5205e+11 9.98915e+10 0
1.10496e+06 7.43437e+11 9.91279e+10 0
1.10921e+06 7.34923e+11 9.83695e+10 0
1.11348e+06 7.26507e+11 9.76162e+10 0
1.11776e+06 7.18187e+11 9.68698e+10 0
1.12206e+06 7.09962e+11 9.61285e+10 0
1.12638e+06 7.01832e+11 9.53923e+10 0
1.13071e+06 6.93794e+11 9.46628e+10 0
1.13506e+06 6.85849e+11 9.39383e+10 0
1.13942e+06 6.77994e+11 9.32205e+10 0
1.14381e+06 6.7023e+11 9.25061e+10 0
1.14821e+06 6.62554e+11 9.17982e+10 0
1.15262e+06 6.54967e+11 9.10968e+10 0
1.15706e+06 6.47466e+11 9.03987e+10 0
1.16151e+06 6.40051e+11 8.97071e+10 0
1.16597e+06 6.32721e+11 8.90219e+10 0
1.17046e+06 6.25475e+11 8.83399e+10 0
1.17496e+06 6.18312e+11 8.76643e+10 0
1.17948e+06 6.11231e+11 8.69934e+10 0
1.18402e+06 6.04231e+11 8.63273e+10 0
1.18857e+06 5.97311e+11 8.56674e+10 0
1.19314e+06 5.90471e+11 8.50121e+10 0
1.19773e+06 5.83708e+11 8.43615e+10 0
1.20234e+06 5.77024e+11 8.37156e+10 0
1.20696e+06 5.70415e+11 8.30757e+10 0
1.21161e+06 5.63883e+11 8.2439e+10 0
1.21627e+06 5.57425e+11 8.18082e+10 0
1.22094e+06 5.51041e+11 8.11833e+10 0
1.22564e+06 5.44731e+11 8.05616e+10 0
1.23035e+06 5.38492e+11 7.99458e+10 0
1.23509e+06 5.32325e+11 7.93331e+10 0
1.23984e+06 5.26229e+11 7.87261e+10 0
1.24461e+06 5.20203e+11 7.81236e+10 0
1.24939e+06 5.14245e+11 7.75267e+10 0
1.2542e+06 5.08356e+11 7.69329e+10 0
1.25902e+06 5.02534e+11 7.63448e+10 0
1.26386e+06 4.96779e+11 7.57609e+10 0
1.26873e+06 4.91089e+11 7.51802e+10 0
1.27361e+06 4.85465e+11 7.46049e+10 0
1.2785e+06 4.79906e+11 7.40351e+10 0
1.28342e+06 4.7441e+11 7.34683e+10 0
1.28836e+06 4.68977e+11 7.29057e+10 0
1.29331e+06 4.63606e+11 7.23485e+10 0
1.29829e+06 4.58296e+11 7.17943e+10 0
1.30328e+06 4.53048e+11 7.12453e+10 0
1.30829e+06 4.47859e+11 7.07005e+10 0
1.31333e+06 4.4273e+11 7.01586e+10 0
1.31838e+06 4.3766e+11 6.96219e+10 0
1.32345e+06 4.32648e+11 6.90893e+10 0
1.32854e+06 4.27693e+11 6.85607e+10 0
1.33365e+06 4.22795e+11 6.80361e+10 0
1.33878e+06 4.17953e+11 6.75154e+10 0
1.34393e+06 4.13166e+11 6.69987e+10 0
1.3491e+06 4.08434e+11 6.6486e+10 0
1.35429e+06 4.03757e+11 6.59772e+10 0
1.3595e+06 3.99133e+11 6.54722e+10 0
1.36472e+06 3.94562e+11 6.49721e+10 0
1.36997e+06 3.90043e+11 6.44748e+10 0
1.37524e+06 3.85576e+11 6.39814e+10 0
1.38053e+06 3.8116e+11 6.34918e+10 0
1.38584e+06 3.76795e+11 6.3006e+10 0
1.39117e+06 3.7248e+11 6.25239e+10 0
1.39652e+06 3.68214e+11 6.20455e+10 0
1.4019e+06 3.63997e+11 6.157e+10 0
1.40729e+06 3.59828e+11 6.10991e+10 0
1.4127e+06 3.55708e+11 6.06318e+10 0
1.41813e+06 3.51634e+11 6.01681e+10 0
1.42359e+06 3.47607e+11 5.97073e+10 0
1.42906e+06 3.43626e+11 5.92508e+10 0
1.43456e+06 3.3969e+11 5.87972e+10 0
1.44008e+06 3.358e+11 5.83471e+10 0
1.44562e+06 3.31954e+11 5.79005e+10 0
1.45118e+06 3.28153e+11 5.74575e+10 0
1.45676e+06 3.24394e+11 5.70179e+10 0
1.46236e+06 3.20679e+11 5.65819e+10 0
1.46799e+06 3.17007e+11 5.61485e+10 0
1.47363e+06 3.13376e+11 5.57193e+10 0
1.4793e+06 3.09787e+11 5.52928e+10 0
1.48499e+06 3.06239e+11 5.48697e+10 0
1.4907e+06 3.02732e+11 5.44499e+10 0
1.49644e+06 2.99265e+11 5.40328e+10 0
1.50219e+06 2.95838e+11 5.36197e+10 0
1.50797e+06 2.9245e+11 5.32093e+10 0
1.51377e+06 2.891e+11 5.28021e+10 0
1.51959e+06 2.85789e+11 5.23982e+10 0
1.52544e+06 2.82516e+11 5.19969e+10 0
1.5313e+06 2.79281e+11 5.15995e+10 0
1.53719e+06 2.76082e+11 5.12046e+10 0
1.54311e+06 2.7292e+11 5.08123e+10 0
1.54904e+06 2.69795e+11 5.04238e+10 0
1.555e+06 2.66705e+11 5.00378e+10 0
1.56098e+06 2.6365e+11 4.9655e+10 0
1.56699e+06 2.60631e+11 4.92746e+10 0
1.57301e+06 2.57646e+11 4.8898e+10 0
1.57906e+06 2.54695e+11 4.85238e+10 0
1.58514e+06 2.51778e+11 4.81521e+10 0
1.59123e+06 2.48895e+11 4.7784e+10 0
1.59735e+06 2.46044e+11 4.74184e+10 0
1.6035e+06 2.43226e+11 4.70552e+10 0
1.60967e+06 2.40441e+11 4.66949e+10 0
1.61586e+06 2.37687e+11 4.63377e+10 0
1.62207e+06 2.34965e+11 4.59833e+10 0
1.62831e+06 2.32274e+11 4.56314e+10 0
1.63457e+06 2.29614e+11 4.52824e+10 0
1.64086e+06 2.26984e+11 4.49357e+10 0
1.64717e+06 2.24384e+11 4.45919e+10 0
1.65351e+06 2.21814e+11 4.42504e+10 0
1.65987e+06 2.19274e+11 4.39117e+10 0
1.66625e+06 2.16763e+11 4.35759e+10 0
1.67266e+06 2.1428e+11 4.32424e+10 0
1.67909e+06 2.11826e+11 4.29117e+10 0
1.68555e+06 2.094e+11 4.25832e+10 0
1.69204e+06 2.07002e+11 4.2257e+10 0
1.69854e+06 2.04631e+11 4.1934e+10 0
1.70508e+06 2.02288e+11 4.16127e+10 0
1.71163e+06 1.99971e+11 4.12947e+10 0
1.71822e+06 1.97681e+11 4.09784e+10 0
