# r z psiT2 psiL2
1e-06 1e-06 7.49251e+08 195082
1.06333e-06 1e-06 6.62665e+08 172538
1.13066e-06 1e-06 5.86085e+08 152599
1.20226e-06 1e-06 5.18355e+08 134964
1.2784e-06 1e-06 4.58452e+08 119367
1.35936e-06 1e-06 4.05472e+08 105573
1.44544e-06 1e-06 3.58614e+08 93372.4
1.53697e-06 1e-06 3.17171e+08 82581.9
1.63431e-06 1e-06 2.80518e+08 73038.5
1.7378e-06 1e-06 2.481e+08 64597.9
1.84785e-06 1e-06 2.19429e+08 57132.7
1.96487e-06 1e-06 1.94071e+08 50530.3
2.0893e-06 1e-06 1.71643e+08 44690.8
2.2216e-06 1e-06 1.51808e+08 39526.2
2.36229e-06 1e-06 1.34264e+08 34958.4
2.51189e-06 1e-06 1.18748e+08 30918.5
2.67096e-06 1e-06 1.05025e+08 27345.4
2.8401e-06 1e-06 9.28882e+07 24185.3
3.01995e-06 1e-06 8.21537e+07 21390.4
3.21119e-06 1e-06 7.26598e+07 18918.4
3.41455e-06 1e-06 6.42629e+07 16732.1
3.63078e-06 1e-06 5.68365e+07 14798.5
3.86071e-06 1e-06 5.02683e+07 13088.4
4.10519e-06 1e-06 4.44591e+07 11575.8
4.36516e-06 1e-06 3.93212e+07 10238.1
4.64159e-06 1e-06 3.47771e+07 9054.93
4.93552e-06 1e-06 3.07582e+07 8008.51
5.24807e-06 1e-06 2.72037e+07 7083.02
5.58042e-06 1e-06 2.40599e+07 6264.48
5.93381e-06 1e-06 2.12795e+07 5540.53
6.30957e-06 1e-06 1.88203e+07 4900.25
6.70914e-06 1e-06 1.66454e+07 4333.96
7.134e-06 1e-06 1.47218e+07 3833.11
7.58578e-06 1e-06 1.30205e+07 3390.15
8.06616e-06 1e-06 1.15158e+07 2998.37
8.57696e-06 1e-06 1.0185e+07 2651.87
9.12011e-06 1e-06 9.00798e+06 2345.41
9.69765e-06 1e-06 7.96698e+06 2074.36
1.03118e-05 1e-06 7.04629e+06 1834.64
1.09648e-05 1e-06 6.232e+06 1622.63
1.16591e-05 1e-06 5.51181e+06 1435.11
1.23975e-05 1e-06 4.87484e+06 1269.26
1.31826e-05 1e-06 4.31149e+06 1122.58
